Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,LogS_direct,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,q05_YoY_timesafe,q16_YoY_timesafe,q84_YoY_timesafe,q95_YoY_timesafe,Violation90_YoY_timesafe,UpperViolation95_YoY_timesafe,SHAP_Shap_target_headline_6m_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_Factor_1_lag2,SHAP_Shap_Factor_2_lag2,SHAP_Shap_Factor_3_lag2,SHAP_Shap_Factor_4_lag2,SHAP_Shap_Factor_5_lag2,SHAP_Shap_target_headline_6m_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Factor_1_lag3,SHAP_Shap_Factor_2_lag3,SHAP_Shap_Factor_3_lag3,SHAP_Shap_Factor_4_lag3,SHAP_Shap_Factor_5_lag3,SHAP_Shap_Constant
2015-03-01,2015-09-01,-1.1063754838597006,0.5270931512783711,0.9845245121629883,0.9935173177845621,-1.9075165484556615,2.6682197819798343,0.13619299799953877,99.99999999999999,0.3537338677259898,-0.015610823599575451,1.4597184404505128,-1.4541319195251925,-0.6373976019561565,-1.891007897980968,-1.3819481021490316,0.08151672244333928,0.5460041959851769,-0.900944177595342,0.44396027807385857,0.44785126427101435,-1.9593644258926073,-1.450304630060671,0.013160194531699908,0.4776476680735376,0,0,0.0001472981248034542,2.8060180613317534e-07,2.2987442034341506e-06,3.137029568465186e-06,-2.4892899642205535e-06,4.164487441884054e-06,2.0124180334302987e-06,-6.362974505719415e-06,7.304324442539421e-06,2.1284846933560015e-05,5.154953932134597e-07,-2.0221559801511704e-07,2.983657781290419e-06,6.859577732248559e-09,-1.0995210238977814e-06,1.6435736023827615e-06,-5.982991967546934e-07,-4.785732768606808e-06,2.470377545606395e-06,8.958212445001001e-07,-1.0401721083312117e-06,4.504257580719383e-06,-2.6951676917784253e-07,6.283966855958354e-07,0.4903381126032717
2015-06-01,2015-12-01,-2.156413527355028,0.46835779383452136,1.8315716269456608,1.8526197646851055,-2.9002600867714525,6.889424488539131,0.04088020636574104,29.885944190626343,-0.1916630750020269,0.7467808426530811,1.4477460578207053,-1.316989762101528,-0.004604101506753486,-1.2461279504850007,-0.7425004617789499,0.7556585361253128,1.2304188022285059,-0.23878299842401418,0.6478534129318871,0.6540780360358429,-1.5521161395792868,-1.048488650873236,0.4496703470310266,0.9244306131342197,0,0,0.0001399645796705088,2.8453236874729596e-07,1.2926441611542308e-06,-9.176134300519007e-06,-6.61252353520897e-06,6.159827151555124e-06,1.928416621719401e-06,8.53900003617422e-06,-3.159527930034859e-06,-1.0608535518239194e-06,-1.4168546110760432e-06,-2.352842388745356e-06,3.728619414788036e-05,-2.4797707998722902e-06,1.222197297701852e-07,-1.051722988679194e-06,8.816016381760382e-07,-7.53698900847379e-07,1.7529789625917793e-06,-5.963389229506365e-06,-3.4267138937002972e-06,3.991221437030847e-06,8.612429607881937e-08,1.2321247131317789e-08,0.43457794350980083
2015-09-01,2016-03-01,-0.6225927119171359,0.39804985571418255,0.6170289453629579,0.6239830062966051,-1.5454350970372477,1.0417112508610504,0.2395175334682227,29.158408210445653,0.09763725020270964,0.2599400684479644,1.4285331283936014,-0.8644840978884183,-0.35416281407275907,-1.5621602801773553,-1.0714754601170635,0.3803091806396102,0.8301851581477466,-0.5531877419298503,0.34193786738630827,0.3448096358493677,-1.5010009934831208,-1.010316173422829,0.44146846733384476,0.8913444448419812,0,0,0.00011333846571615426,-5.167829285224329e-06,-1.698703479274143e-08,-3.7971997890183436e-06,1.2720875082187941e-05,-1.455584846982997e-06,5.039279433222275e-06,-1.6236502088181536e-05,1.3928091294159118e-05,-1.1243277702413896e-05,-2.4104664927454564e-07,-3.2507380833957734e-07,1.5296546618322966e-05,-2.532192762074382e-07,-2.960510257449607e-07,4.000539212331587e-06,2.671499061969524e-06,-8.172895198862237e-07,7.324400858693344e-07,9.561835314225353e-07,-5.361792873708898e-06,-6.253426357592741e-06,8.447917441035902e-07,-1.238644106081332e-08,0.408022789347281
2015-12-01,2016-06-01,1.4068746136137733,0.2913898519274969,0.6597118786150253,0.6655928248282805,-1.595370014538731,1.2443062535542888,0.7754902849969112,99.99999999999999,1.880353639179907,-2.4026718539498764,1.4336226106752674,-0.3747694568706272,-0.9325118377137654,-2.114273417645752,-1.6363071958980242,-0.20117454060953766,0.310398074360386,-1.078206763677514,0.1724361519523297,0.17614484994332863,-1.6305118592476198,-1.1525456374998917,0.28258701778859485,0.7941596327585185,0,0,4.615202396138726e-05,-1.7396629909400387e-06,-4.274345773458355e-07,1.727347286824996e-05,-5.732020102844023e-06,8.966244574626541e-07,2.5878075550529125e-06,-3.426229608804913e-08,1.4653629608388303e-05,4.1081097559075564e-06,1.3663357310357103e-06,-1.4529259289738845e-06,-4.826331005352272e-05,-6.756499446219982e-07,-3.091118645823281e-07,3.043360001005326e-06,2.7708199862905904e-06,6.021757346987898e-07,-5.218557404360278e-08,-4.340213817821143e-06,6.543952605246275e-06,3.579823523399869e-06,7.424403924931578e-08,-3.3583557344323583e-07,0.3800316625813185
2016-03-01,2016-09-01,0.2592131020737298,0.33540263816337484,0.33608959063707916,0.33942574920185475,-1.2741960773073064,0.005804845409555329,0.48071093661211806,47.22762263007529,1.0582819719783563,-1.1723600832134977,1.410376940830671,-0.181689804921703,-0.14359503687688055,-1.296688321030242,-0.8447879069771407,0.5687159163126492,1.0816620786891058,-0.31129635595856797,0.27372498488813823,0.27538270368914963,-1.7752784770814927,-1.3233780630283913,0.09012576026139847,0.603071922637855,0,0,-2.7922890159686615e-05,7.513688337705089e-07,-5.962176186128438e-07,4.122041546645404e-06,-9.106730260030965e-06,6.790400687280681e-06,-1.2485593660616617e-06,-1.5573043487412386e-05,5.1440350090339165e-06,-1.6370913131052448e-05,-1.0442962049071222e-06,2.6324182210643055e-07,3.0387148868373677e-06,2.9715339839688324e-07,1.9814124442855067e-07,-8.82307757383733e-06,8.356281133426346e-07,-2.526345105627133e-06,-5.483491347864893e-07,-6.886041805719734e-06,7.825788226250653e-06,-4.071375226368582e-06,7.453818035710072e-07,-7.807880332245791e-07,0.3384394788502155
2016-06-01,2016-12-01,-1.4203902738815444,0.34249104982031575,1.087473371626082,1.0964029409074265,-2.0271799065105056,3.1077505614568226,0.11398639957134579,99.99999999999999,-0.9752794835049825,1.7152771953370112,1.4247676172437262,-0.0067578301338855,0.8746828317170445,-0.33536605618328763,0.1361857705139553,1.581085973377524,2.048436827798406,0.7034373068068867,0.34931136239540794,0.3537162974823646,-0.6192007200874465,-0.1476488933902036,1.297251309473365,1.764602163894247,0,0,7.645154291360992e-06,1.9923351013376028e-07,-2.209909872036043e-06,-5.002688669182317e-06,6.190943569823952e-06,3.3498338838092407e-06,-1.1341690061108452e-06,9.388616143242187e-07,-2.391008860067704e-05,-5.314684181233809e-06,-2.717272439771686e-07,-3.2724036964861365e-07,2.786287925168153e-05,7.768989933866128e-07,-7.349441424260645e-07,-1.6999681765716257e-06,2.801096151064596e-06,1.0487580817655703e-07,6.846663988062421e-08,1.2858202250715483e-06,-1.480044228049311e-05,-2.8206446522258773e-07,-9.028335632596781e-07,5.835587960187419e-07,0.32144738855381316
2016-09-01,2017-03-01,0.8732489423429968,0.25106519126107674,0.41373980048156833,0.43275209775667417,-1.3544832209413618,0.3871126201103686,0.648190256561588,99.99999999982636,3.4731446325944635,-4.452687714187807,1.3735615995145463,0.5662310222083633,0.2551391466674033,-0.8669833010319342,-0.3805197423662286,1.0293487293954113,1.5304444450990076,0.12960655103686491,0.1959118279855661,0.20468045802874923,-0.8272387323083356,-0.34077517364262994,1.06909329811901,1.5701890138226062,0,0,3.584799676672125e-05,-5.007551281412297e-07,6.13066048820719e-08,-4.173803417390622e-06,3.901960054460638e-07,1.521603772382375e-06,-1.3335081358480434e-06,-3.0058997230416804e-05,-1.812021368337638e-05,6.56875011320294e-06,-1.5693355139782916e-06,2.805051914874863e-07,3.6789820529603405e-06,2.1069615289530985e-06,-5.772853207740883e-07,-3.2122560163325945e-06,6.219836367134411e-06,-3.492542728096897e-07,-1.4020669325599218e-06,1.6033499247966982e-06,6.1639584898012325e-06,5.90899544070779e-06,2.2614699589238815e-07,-8.168730267140582e-08,0.33531197940793434
2016-12-01,2017-06-01,1.8144033653241465,0.33001168957215943,0.8738036649608906,0.8751000022537658,-1.8124523594410915,2.2034186470417922,0.8354835216753707,99.99999999999999,2.411110361207578,-3.143291255656678,1.447984613703103,0.197006545721301,-0.5451892921546925,-1.7370416115949525,-1.2686300119677234,0.20282723378020634,0.6922379661117594,-0.7101951369407722,0.2789276245595511,0.28184650318774046,-1.4595396745763431,-0.991128074949114,0.4803291707988157,0.9697399031303687,0,0,-6.979729306926601e-05,-7.302807715399946e-07,-3.392623689961741e-07,2.3963255810454207e-05,-5.483787820907566e-06,-4.927509102670442e-06,-5.867574831696198e-07,-1.640641497864634e-05,-2.125848683842865e-05,-1.6282079814082465e-05,5.38817076247821e-06,1.2559582141004439e-06,6.103167295658474e-06,4.753085063537014e-07,2.1809463916572603e-06,3.673064982562989e-07,-5.827380698512098e-06,2.330092208116399e-06,-1.52674965304176e-07,7.816255637237286e-07,-6.777804223155208e-06,7.3521929945761386e-06,9.411515410253453e-07,-1.0760953997085777e-06,0.3349984677988834
2017-03-01,2017-09-01,0.4266000991828278,0.27650842520466,0.33777195379094493,0.3455679907511613,-1.273481677516802,0.022527510597568613,0.5418823101727465,99.99999999999804,1.1798356611226928,-1.3869889477175805,1.407329935708495,0.6499245207629123,0.5748786837738284,-0.5837811723154154,-0.135481107705638,1.298905995401953,1.7404495212966793,0.4366244711714984,0.4698634478968727,0.47072107092716503,-1.2802914461179462,-0.8319913815081689,0.6023957215994225,1.0439392474941485,0,0,-0.00012894890324178105,5.0140218384354135e-06,8.826784928032939e-07,-3.1482694312307184e-06,-1.5118345687826356e-05,-5.269664687665221e-06,-4.5479339037902467e-07,-1.1894604554616043e-05,-2.6585400460669674e-05,8.010674929525375e-07,-7.52343755548515e-07,-1.0151212447344132e-06,-7.858954289689877e-05,-1.6947001295954098e-07,-1.4947755347385932e-07,3.941821046004119e-06,-5.762783253537207e-07,6.201720522180918e-07,-5.440889853272558e-07,6.351982918091772e-07,-6.172089595572667e-07,-2.7761977771414046e-06,6.193394611730171e-07,6.062863810515063e-07,0.308270274761801
2017-06-01,2017-12-01,-0.1439879112352216,0.2977976665395158,0.39372745788850894,0.39610995456595327,-1.327075458867802,0.19517449672975853,0.3737830812183558,99.99999999999999,0.955240694326348,-1.0480812475756582,1.424547635204478,0.8352077270444624,1.056100515931831,-0.12158008337810304,0.3462163013301472,1.781432745686581,2.241236894214406,0.9072016826620732,0.1867921142767273,0.18735738960611073,-0.165570230294709,0.3022261544135412,1.737442598769975,2.1972467472978,0,0,-8.2122609901829e-06,-4.632627939350619e-06,1.0800881235472458e-06,-6.006514119283613e-06,-7.403001751651674e-07,-1.1092142695586707e-05,4.530757301829692e-06,-2.817489332028499e-06,7.676093331213137e-05,-9.24976699566281e-06,1.8346604665902426e-06,1.6225698918366687e-06,1.7423573522005369e-06,3.0580971724519566e-08,1.5977883634507702e-06,6.931118901363374e-07,4.179474201780018e-06,-5.4104157353349786e-06,-1.3044877439143603e-06,-1.2776992019792835e-07,-5.021561436073105e-06,1.957021328324675e-06,4.378644351079977e-07,9.676165838478147e-08,0.31777968350347796
2017-09-01,2018-03-01,1.1578930910678409,0.322711230522318,0.5200892352393264,0.5308419289395944,-1.474873925237987,0.6975287401842812,0.704119974496706,99.99999999963904,0.8100214501383274,-0.8622254777201406,1.494025225568916,0.7922465951253344,0.37465566485257285,-0.8759801912746088,-0.33390958181354063,1.1781527006535877,1.6165634892015361,0.2133000495914139,0.40846731015686605,0.4153081875523998,-1.1574399416776213,-0.6153693322165532,0.8966929502505752,1.3351037387985236,0,0,6.353583215494297e-05,-3.3587901182483764e-07,-7.322604559500208e-07,8.11104349784346e-06,3.6113755217075235e-06,2.7504104640161523e-06,3.200225519519831e-06,-6.372502781392111e-06,-2.9386495937267804e-05,-1.368413328259106e-05,-7.70022007287765e-07,3.1733851375611573e-07,1.3512960079039774e-06,-6.950204265499426e-08,1.214797234421413e-06,-1.0384220545660948e-06,-9.588952346732369e-08,3.7532696615333005e-06,2.0898145465159412e-06,3.1964581396465564e-06,9.49204807433291e-06,-9.450955957176296e-07,-1.2786851912203079e-07,4.1466278281464925e-07,0.340560483148355
2017-12-01,2018-06-01,2.424122667577677,0.33118851344907224,1.3707905273214618,1.3797829861590913,-2.341887110698307,4.380373373518018,0.928170549222647,99.99999999999999,-1.362050510963121,2.2813775398102867,1.4198155638550678,1.1400673781712278,0.09360030110692533,-1.1100979248940888,-0.6003425018985233,0.8393034154752443,1.2501663643877412,-0.0719939556176108,0.6009439623535051,0.6047275190046444,-1.0090211134148717,-0.49926569041930624,0.9403802269544614,1.3512431758669583,0,0,-7.663654086914596e-05,-3.9549401625762925e-08,-1.049003404915391e-07,-1.1378724514252809e-05,-4.601959748898163e-06,-6.38981078348833e-07,-1.948736700809729e-07,-5.38970190312051e-06,-1.9697319216114707e-05,-7.603836098952123e-06,4.3241058899086575e-06,1.0656200077608991e-09,-4.317474761286239e-06,-3.210817001703571e-07,-1.281938538371871e-06,-2.416574619991367e-06,8.494928689009183e-06,2.245156347620793e-06,-9.152512801650662e-07,-3.983526310094964e-06,1.1099181341666482e-05,1.047600733040959e-05,-7.8836557938433e-07,-1.8357305531209928e-07,0.34405898119018363
2018-03-01,2018-09-01,0.8113271366093855,0.37447273882667365,0.37175629597469395,0.39092667237595585,-1.292885783446021,0.19084176486209584,0.609051288500093,99.99999999909214,-2.0249126448263404,3.240894032250091,1.388047106494549,0.9846101138386132,0.7661829149472572,-0.3817516194951418,0.08952789204191655,1.5045958119981995,1.9040980957272218,0.5789465455339204,0.6093567160323561,0.6109945260107567,-1.133024522863658,-0.6617450113265997,0.7533229086296834,1.1528251923587056,0,0,-0.0002610330056002329,-7.677378458587143e-07,1.6579825277610214e-07,6.420655962219686e-06,-1.1169353638427972e-05,-1.2585913992169888e-05,-1.945678344039326e-06,-1.7368390083357695e-05,3.595167646110259e-06,2.915904382992147e-07,-2.2025642870800014e-07,-2.27330929469038e-06,9.813579105349956e-06,5.295850397819717e-08,1.2715563125453728e-07,-6.883610496476419e-07,1.6647837071940788e-06,-4.969032122564234e-07,-1.411518794898628e-07,-4.0663152168299285e-06,-5.047422185208838e-06,-4.174060201936162e-06,-4.196290707555373e-07,1.2226780372746864e-06,0.33064523112738226
