Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_Business_Confidence_EU,Shap_variable_mortgages,Shap_M3_change,Shap_M2_change,Shap_CH_2int,Shap_Saron_Rate,Shap_oilprices,Shap_infl_e_next_year,Shap_fin_spread,Shap_Wage_change,Shap_infl_e_current_year,Shap_EU_fin_spread,Shap_kofbarometer,Shap_M1_change,Shap_unemployment_rate,Shap_headline_1m,Shap_core_1m,Shap_headline_lag_1,Shap_headline_lag_2,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Constant
2015-03-01,2015-09-01,-1.4541319195251925,-0.0970753383941591,-0.9944769528806852,-0.8488119836985958,0.45579241302435786,1.0547123024591165,1.841602564391049,0.9893597015884571,0.9803418940377179,26.11186798253278,9.999999999998659,-3.652995245251943,0.3421132132274133,0.0036826437413640103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025798962676807854,0.0,0.0,-0.11269619774345276,0.0,-0.028436419365790506,-0.11100235105894453,-0.26138653846441995,0.03978912293246813,0.0,-0.023219037143621675,0.0,0.02032015201560533,0.0,-0.10060738466829575,-0.036957178521811726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49132153094729647
2015-06-01,2015-12-01,-1.316989762101528,-0.18182279477980676,-1.0593668734477646,-0.926836457039304,0.2843202557419101,1.01846408668127,1.2886040436983939,0.7723070059305425,0.7685130192564097,26.342922345558286,9.999999999999998,-3.7721415731932444,0.34642782504655983,0.017422900413464257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013213073727341706,0.028332784715079096,0.0,-0.12175638911072478,0.0,0.0,-0.16161351196172893,-0.28666521617400037,0.04326954451043921,0.0,-0.03386741926836926,0.0,0.034166514323261794,0.0,-0.06498730292744384,-0.015486541133686122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4099978159747082
2015-09-01,2016-03-01,-0.8644840978884183,-0.4864714355665711,-1.4124469369917847,-1.1853891956280123,0.054433359538919,0.48517166940432943,0.14289357287565088,0.22765922529195992,0.2077434896982592,39.457056920996365,9.999999999999998,-4.581298569157247,0.40000313795476355,0.2960752294577829,0.0,0.0,0.0,0.0,-0.028830222400938795,0.0,0.0,0.0,0.0,0.0,-0.1942900047100083,0.0,0.0,-0.20042327875118018,-0.39128663809515485,0.0,-0.016969019976063805,-0.03849967711935011,0.0,0.0,-0.01057395185059537,0.0,-0.011644112691725014,-0.07283329491754315,0.0,0.0,-0.0048650691749844155,0.0,0.0,0.0,0.0,0.0,0.4837438341209731
2015-12-01,2016-06-01,-0.3747694568706272,-0.4864714355665711,-1.4022834113305294,-1.2842046129783569,0.3050642406212074,1.984247781688264,0.012477332044589104,0.22935485361894448,0.21212512264614602,5.894457150684789,9.999999999996538,-3.0896527720866893,0.24188306768442006,0.5711731116284127,0.0,0.0,0.0,0.0,-0.018412811271367933,0.0,0.0,0.0,0.0,0.0,-0.22013251462642083,-0.028019386325925433,0.0,-0.2592785840588163,-0.40888009160593436,0.0,-0.034729040552048056,-0.05168737088017672,0.0,0.0,-0.04266965814219933,0.13357771335958923,0.0,-0.02923316835209749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47299347688882604
2016-03-01,2016-09-01,-0.181689804921703,-0.5953826692453035,-1.4022834113305294,-1.2842046129783569,0.240724629207012,1.0021954048277895,0.1711417859922649,0.2693852312213338,0.25041353244586567,17.38469689153388,9.99999999999949,-4.2141059803437955,0.357610630296812,0.6927496789139356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2529143493710529,-0.06597074467992535,-0.04367729277000931,-0.33093524928443074,-0.3871207488485999,0.0,-0.049492266087440825,-0.08316305611058267,0.0,0.0,-0.07581154753204075,0.16923462154453872,0.0,0.16698444301584087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3574835208783994
2016-06-01,2016-12-01,-0.0067578301338855,-0.5086755397637255,-1.4022834113305294,-1.2842046129783569,0.0027728372861801,0.2781209507543458,0.25192138724006435,0.35710659324834293,0.38037501944999236,43.64634750573017,9.999999999999854,-4.517264279430064,0.3848772866205049,0.8490262357362738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19455987470778388,-0.04074625630335826,-0.0531931017735971,-0.20341646475049735,-0.31546034938761763,0.0,-0.033028738996151975,-0.045265581696272185,0.0,0.0,-0.05477920080227146,0.1563943573352593,-0.050374335287454663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32575400660601994
2016-09-01,2017-03-01,0.5662310222083633,-0.41870485530259843,-1.4022834113305294,-1.1889245208247523,-0.0027760399989418,0.19352655302338073,0.9700986828082884,0.8025422069560227,0.8026192019824653,88.69570716713558,-9.999999922330133,3.6274840555618955,0.4119051750580262,0.9879542948466562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19400243924353927,0.0,-0.031416330797499135,-0.1773535738698825,-0.2605294357704963,0.0,-0.025856617446094687,-0.04834194195680407,0.0,0.0,-0.029979694666821897,0.14376242618223292,-0.05125394775476109,-0.041501761526488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2977684615475557
2016-12-01,2017-06-01,0.197006545721301,-0.3747694568706272,-1.36920640375493,-1.1378764606693392,-0.0126722259627065,0.0717082309224181,0.32692779714000464,0.45772413874697004,0.46705354298668994,46.31248447787296,-9.999999999983856,2.8045252231968028,0.32758942308232214,0.9451977432022294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15735260086353345,-0.012143153614213626,0.0,-0.1877199571138939,-0.2528411317528977,0.0,-0.01960261194854769,-0.03602978177278738,0.0,0.03018154850216148,-0.008293796763959293,0.0,0.0,-0.019067079303479624,-0.006604981276799485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29470408903732337
2017-03-01,2017-09-01,0.6499245207629123,-0.0553795839522308,-0.8894435959207446,-0.41688240890361766,0.3483109044570831,0.643933185816703,0.49745388012802944,0.5063933599267568,0.500181525401623,3.840479481105019,-0.33187206312788886,0.06590638850465885,0.35616395170501564,0.9493457101091842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14997259886456404,0.0,0.0,-0.15060627587247655,-0.17915756146342424,0.010989034178482737,-0.017223727168604624,-0.03376630784167998,0.011214681346166544,0.019048241202691153,0.0,0.10832561649847608,0.0,0.06012542494037198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26564388909233017
2017-06-01,2017-12-01,0.8352077270444624,-0.0586184480718898,-1.1849262363760582,-0.6364083525426167,0.436851062708854,0.5662310222083633,0.7989252313231279,0.6845057583251422,0.6704473293977687,13.925607525399702,-3.070932380685145,1.2410885888907912,0.42044989344256284,0.9816054724514535,0.0,0.018313311066187377,0.0,0.0,0.0,0.0,0.0,-0.0070744148617520874,0.0,0.0,-0.1388160583106483,0.0,0.0,-0.15529527357381315,-0.17267810348250143,0.0,-0.01589729670619417,-0.015262408453189933,0.017661576857233168,0.0,0.0,0.12033444383091876,0.0,0.014772021821733752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2753237537401361
2017-09-01,2018-03-01,0.7922465951253344,-0.1412280919067754,-1.1289546816820817,-0.8431633658290139,0.3683252603760678,0.5662310222083633,0.8713749913296953,0.7014131216425049,0.6956955328843514,92.00394835488174,-9.999999999999996,4.198190291615917,0.43653297283895814,0.9725708544797539,0.0,-0.009439397436821314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01579102066023469,-0.14752106312072857,0.0,0.0,-0.1358480997852268,-0.17825173163485802,0.017493544441449498,0.0,-0.023291991469562942,0.030748842044649238,0.0,0.0,0.18769590732401084,0.0,-0.13334440944304402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23473928651312204
2017-12-01,2018-06-01,1.1400673781712278,-0.0047669350664136505,-1.042713669218287,-0.792608094681313,0.5662310222083633,0.8352077270444624,1.3106456047663022,0.8391549913260495,0.8201967968941524,20.41207812152263,0.5031737043508734,-0.3400328566475109,0.6142423435363451,0.9608134150472556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023332445091075637,-0.0921459575562676,0.0,0.020416784274565617,-0.1322316355999933,-0.1816783513385203,0.02483830266601894,0.0,0.0,0.010322501304968701,0.0,0.0,0.17599176704002703,0.024040925773505587,-0.1473420653181726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2696883485963787
