Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,CRPS_YoY_timesafe,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_Wage_change,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_CH_2int,SHAP_Shap_infl_e_current_year,SHAP_Shap_fin_spread,SHAP_Shap_unemployment_rate,SHAP_Shap_M1_change,SHAP_Shap_oilprices,SHAP_Shap_variable_mortgages,SHAP_Shap_infl_e_next_year,SHAP_Shap_EU_fin_spread,SHAP_Shap_kofbarometer,SHAP_Shap_Saron_Rate,SHAP_Shap_M3_change,SHAP_Shap_M2_change,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Constant
2015-03-01,2015-12-01,-1.271741217826753,0.2567710373124754,1.0917562655325141,1.1113832367775538,2.33634971411081,0.05067828155041143,-1.316989762101528,-0.17060557074710658,-1.2324653985668732,-0.8453876011086159,0.7730334301381703,1.1683621110272875,0.7580693838378401,-0.013745196210375482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01892268166501858,0.0,0.0,0.0,-0.03590990389336075,0.17608729432767112,-0.03985053463217667,0.0,0.0,-0.024434757558790283,-0.03345799055960666,0.0,-0.03194954092868086,-0.024878339800855197,-0.09176291697546139,0.0,0.0,0.0,0.0,0.3955956052091302
2015-06-01,2016-03-01,-1.3185132642611563,0.1951026230090728,0.9409221954517749,0.9584472930233627,2.291033054196843,0.09698561870803771,-0.8644840978884183,0.27072781756425357,-1.2451150883298288,-0.7093747855424047,1.1774743363115903,1.6763138450152757,0.48106322159305065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08496506038434204,-0.03190081665908182,0.0,0.0,0.0,-0.06351735517742538,0.24627865913783736,-0.051773217650711086,0.0,0.0,0.0,-0.06323374041309873,0.0,-0.04573561614345541,0.0,-0.020998971559865937,0.0,-0.041540429075937066,0.0,-0.02113713130621246,0.3736263022413654
2015-09-01,2016-06-01,0.4037588471555627,0.0880373396885403,0.30403970093637767,0.30149354199185546,0.09968007027724911,0.5902471174572499,-0.3747694568706272,-0.611560587470894,-2.048188259143644,-1.4541319195251923,0.5012346543027844,0.8743244024705275,0.21861426624167424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04542548863138644,-0.04192712592931558,0.0,0.0,-0.0190231254271038,-0.058647108371108314,0.31009246733817514,-0.08219962389820971,-0.03426173183795411,0.0,0.0,-0.07257527597975551,0.0,-0.05331528572842253,0.0,-0.09771746345020223,0.0,0.0,0.0,0.0,0.2830371016038234
2015-12-01,2016-09-01,0.2919044886913487,0.2501777564119104,0.3253811994099672,0.3251268848638374,0.0017411201867199178,0.5267709945310226,-0.181689804921703,-0.2129848541312818,-1.7701341100774923,-1.248152409263259,0.9488633705887928,1.7943347723235803,0.30973110614702004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029631442542713597,-0.025513769570756004,-0.03604517144683541,0.0,0.0,-0.02288955372401579,0.25462586787065783,0.2041181606409002,-0.1072288282017871,-0.04050882320269235,0.0,0.0,-0.10851391701797872,0.0,-0.027565426522275786,0.0,0.0,0.0,0.0,0.0,0.0,0.18933066012940714
2016-03-01,2016-12-01,-0.1281061941540429,-0.288568403538747,0.2937152717542035,0.29705904187102755,0.02574812064062063,0.5695883593794373,-0.0067578301338855,-0.12710448717241363,-1.423311480465994,-0.9264020553252372,0.687520243843398,1.6228461589527399,0.37745398722400675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04146849769720655,-0.046561643610491095,-0.06584529111246223,0.0,0.0,0.08627762599576616,0.0,0.16560736173566512,-0.18395320684471433,-0.08838329538678982,0.0,0.0,-0.1777154070637775,0.0,-0.036407409149071784,0.0,-0.10231674492704776,0.0,0.0,0.0,0.0,0.20219810452138273
2016-06-01,2017-03-01,-0.0638459588225022,-0.6620523674166989,0.376794127476464,0.38395428740749504,0.35785090728316704,0.7167202900562406,0.5662310222083633,0.11757621576271582,-0.9514580626428066,-0.552999028200496,0.9682807301815863,1.6698435997561774,0.4348859761127202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04708088903874345,-0.09783185098522833,-0.07693339426176253,0.0,-0.0339320769525857,0.0,-0.08679651290913273,0.0,-0.1799511175749052,-0.12067464150712622,0.0,0.0,-0.20333158676872526,0.0,-0.08327018906334928,0.0,0.0,0.0,-0.02739453456757135,0.0,0.0,0.295144426212431
2016-09-01,2017-06-01,0.9086873146795682,-0.3001181642080297,0.7657899806287262,0.7831528828204891,1.4612106857886749,0.8734037496762244,0.197006545721301,-0.7095975634443974,-1.8756994443069885,-1.4733938884842424,-0.048187678703115466,0.8488400475733644,0.545037643975203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04870038784160849,-0.0670550740747961,-0.04883320150828887,0.0,-0.02103714345721069,0.0,-0.056864781591481735,0.11933090610869646,-0.17901992161446603,-0.06994120500449673,0.0,0.0,-0.1291130824397774,0.0,-0.06280303676507264,0.0,0.0,0.0,0.0,0.0,0.0,0.2639187639804724
2016-12-01,2017-09-01,1.1674809565537458,-0.288568403538747,1.0108865295623326,1.036759463230588,2.120079739025758,0.9573138003882184,0.6499245207629123,-0.44211249930645735,-1.5962858635587416,-1.1994496931819754,0.1153150602014818,0.43432625080193077,0.5186868746375144,-0.004487495734018854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03124043440875624,-0.013945366308274577,-0.02157709910672252,0.0,-0.010092574585494455,-0.011710240375748795,0.0,0.0,-0.15742714946634226,-0.05228961352288639,0.0,0.0,-0.1197328754330192,0.0,-0.011230606837221224,0.0,0.0,0.0,0.0,0.0,0.0,0.14516505223973752
2017-03-01,2017-12-01,0.2305294122940893,-0.244765757134265,0.3122676040324264,0.29622924017905866,0.22590549808192797,0.7090600789511965,0.8352077270444624,0.4787363499731967,-0.5462758521576738,-0.29149524554616935,1.0259065310284754,1.7188941324285578,0.7083788694030392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03471732450172059,-0.015312935094209463,-0.0493730866286654,0.0,-0.014525905274388587,0.0,0.0,0.07574503543932198,-0.1429097496842574,-0.05510319084125156,0.0,0.0,-0.09851242613826552,0.0,-0.009939430189546388,0.0,-0.049947099176802894,0.0,0.0,0.0,0.0,0.14983035495552083
2017-06-01,2018-03-01,0.7298074403828754,-0.0638459588225022,0.4990100984716545,0.4936681122317758,0.6298857180702504,0.7446529800171315,0.7922465951253344,0.1970065457213011,-1.1462994891804357,-0.7288724816914005,0.9559414745798402,2.174210167681025,0.39638443707664034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026694086962782224,0.09377708621570618,-0.05184666448164391,0.0,-0.029724684682124032,0.0,-0.04851504969192488,0.10787024460343186,-0.16345978901751831,0.0,0.0,0.0,-0.16691936278427505,0.0,-0.05072797780223523,0.0,0.0,0.0,-0.02149155529709984,0.0,0.0,0.2938858810779632
