Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_kofbarometer,Shap_infl_e_next_year,Shap_CH_2int,Shap_Business_Confidence_EU,Shap_M2_change,Shap_fin_spread,Shap_oilprices,Shap_Saron_Rate,Shap_unemployment_rate,Shap_infl_e_current_year,Shap_M3_change,Shap_Wage_change,Shap_M1_change,Shap_EU_fin_spread,Shap_variable_mortgages,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Linear_Pred,Shap_Constant
2015-03-01,2015-09-01,-1.4541319195251925,-0.7119681992457494,-1.8745657279133354,-1.359942670684422,-0.15855373296885855,0.13733210743103208,0.5508069876990235,0.45840993597202956,0.44573295902934973,34.8560272119785,-9.999999999993829,3.1095764414338922,0.3795991802840154,0.13357858048281787,-0.900944177595342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01820897004049819,-0.008094874887201994,-0.022625059146458303,0.0,-0.015393753947348052,-0.014727961347562848,0.14532030477886726,-0.07035911394616147,0.0,0.0,0.0,0.0,-0.01777431679506522,0.0,-0.04065770248032806,0.0,0.0,-0.022903526008714134,0.0,0.0,0.0,0.0,0.27440095217006355
2015-06-01,2015-12-01,-1.316989762101528,-0.23630808047983012,-1.3885804148872083,-0.9421653317434352,0.38559339197536957,0.7423385122671711,1.167872896992701,0.7497191352792582,0.7488285453390776,99.99999999999788,-3.9916839921125833,2.268723795389647,0.6216013908326198,0.05120897082577586,-0.23878299842401418,0.0,0.0,0.0,0.0,0.0,0.0,-0.010659220525645465,0.0,-0.006934698171900344,-0.01307313019634964,-0.027965716519829573,0.0,-0.014948091775856787,-0.01022497512485984,0.0,-0.08812134836956884,0.0,0.0,0.0,0.0,-0.04308105519445865,0.0,-0.03790252649630512,0.0,0.0,0.0,-0.055730243314413355,0.0,0.0,0.0,0.3111159236333716
2015-09-01,2016-03-01,-0.8644840978884183,-0.7214982209175602,-1.6388584916504634,-1.3623958174630246,-0.01853343113857875,0.40736660673834624,0.02044496101312536,0.17356699163754805,0.1708258326071217,99.99999999999999,0.5639744691956291,-1.0262016701479342,0.6273725756860187,0.3794986716946581,-0.5531877419298503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010647492822617375,0.0,-0.017246190476725185,-0.06295998054581746,0.0,-0.02944134601119532,-0.0336962436371376,0.0,-0.12772286089255114,-0.007900198589550267,0.0,0.0,-0.013880652601255244,-0.0374131675782146,0.0,-0.11166701444645989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2842646686138142
2015-12-01,2016-06-01,-0.3747694568706272,-1.1391431040719269,-2.156540658549644,-1.8821374344717867,-0.27365282681746084,0.07580051015700917,0.5842670725358169,0.43987500318864386,0.4443142774791101,31.584409817068785,9.999999999335122,-5.556847953796816,0.43870653138290366,0.8317209993763184,-1.078206763677514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029103058834392737,0.0,-0.05912086278472357,-0.08140579728558171,0.0,-0.05452571570616172,-0.06655513165741042,0.06691690465344784,-0.1666519699859041,0.0,0.0,0.0,0.0,0.13259057751080044,0.0,-0.13960656818822087,0.0,0.0,0.0,0.06503179778295204,0.0,0.0,0.0,0.2714934841007819
2016-03-01,2016-09-01,-0.181689804921703,-0.6225927119171359,-1.3895031196360819,-1.1623421546626211,0.16369809119014533,0.4637067386889626,0.1943953733970234,0.24608797295515744,0.2279313205904174,44.44029433231972,9.999999999999885,-4.343140792864244,0.3755004885229089,0.7445753175698928,-0.31129635595856797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128853808994687,-0.0609446400794653,-0.0036046066757238204,-0.011652677398803976,-0.054552804133588755,0.0,-0.17483455621059418,0.0,-0.009891167636825767,0.0,0.0,-0.02017267935729165,0.0,-0.1465554184819019,0.0,0.0,-0.007998357398500841,0.0,0.0,0.0,0.0,0.250199089504075
2016-06-01,2016-12-01,-0.0067578301338855,0.3921409508483187,-0.3822334429137264,-0.14760849189716652,1.0245353040265748,1.4068746136137733,0.1591202374690885,0.25947475613314147,0.2507785840650376,82.60235003873757,9.999999999901725,-3.8923552143296813,0.4286519900081818,0.21533148943052802,0.7034373068068867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04085724212867414,-0.05806674760250177,-0.059981455819065395,0.0,-0.02157367452360269,-0.06584188947865469,0.0,-0.13731515426043414,0.0,0.0,0.0,0.0,-0.043995274136892984,-0.006506370122285655,-0.12710878385666188,0.0,0.0,0.0,-0.10561605836486367,0.0,0.0,0.0,0.2738518100777207
2016-09-01,2017-03-01,0.5662310222083633,0.042241204474358085,-0.948600212640649,-0.5593085155095601,0.5471774827570108,0.9343187712296253,0.274565329088916,0.33707472317893555,0.3363598709485252,99.99999999996325,5.39225510494591,-2.7381803942854335,0.5075212017813725,0.8417236782459522,0.12960655103686491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04932221200653958,-0.06185099254268962,-0.06047421670198634,0.0,-0.022659489601613264,-0.049254323230362176,0.06147209839848456,-0.10610511899192662,-0.017860486375333908,0.0,0.0,0.0,-0.027214188996130484,0.0,-0.11030831711740333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2575674765899147
2016-12-01,2017-06-01,0.197006545721301,-0.7743540524361769,-1.6838166872587657,-1.3032704727381272,-0.23520068979205888,-0.004846560573927405,0.9435414116528534,0.7011309471618463,0.6949517260474477,99.99999999998784,5.358178433681037,-3.469508070095221,0.4977695447153599,0.9614106892547434,-0.7101951369407722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06328168922248435,-0.06153754735500896,-0.03203594900217264,-0.031946112997651745,-0.0391902768443702,0.04665686608719355,-0.137316120444676,0.0,0.0,0.0,0.0,-0.021924942485434973,0.0,-0.10153436490057499,0.0,0.0,0.0,0.08666544087421148,0.0,0.0,0.0,0.2912857807955641
2017-03-01,2017-09-01,0.6499245207629123,0.3361025601123835,-0.6415822925060155,-0.12294528577715258,0.8732489423429968,1.1843162849630215,0.09848422298654205,0.19230788967988732,0.19101596206363652,11.841330189688199,0.44384625564019997,0.12107811978394806,0.4921867029757467,0.7237402647973075,0.4366244711714984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05594963730981072,-0.05786013770971243,-0.0172199397710652,-0.009367754607749912,-0.04006117329623687,0.06808330364570397,-0.08703145682947136,0.0,0.0,0.0,0.0,-0.015303739600002256,0.0,-0.10448054113995442,0.0,0.0,-0.006665328135084747,0.0,0.0,0.0,0.0,0.22533449369426903
2017-06-01,2017-12-01,0.8352077270444624,0.8169159786246105,-0.1735477049077616,0.19700654572130105,1.7149212861762742,2.0656737715421607,0.0003345880602551555,0.1864060278316963,0.1709381903991306,40.15182801266879,9.999999999997593,-3.9360786290588474,0.4776124475242332,0.47767626608310576,0.9072016826620732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405946087707588,-0.032304507404451885,-0.060273427449672984,0.08797789391379404,0.0,-0.038541236506889794,0.119923358142955,-0.1062942715015068,0.0,0.0,0.0,0.0,0.0,0.0,-0.11442194795817821,0.017425269692452672,0.0,0.0,-0.21026461404108576,0.0,0.0,0.0,0.19242831819804507
