Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,CRPS_YoY_timesafe,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_Wage_change,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_CH_2int,SHAP_Shap_infl_e_current_year,SHAP_Shap_fin_spread,SHAP_Shap_unemployment_rate,SHAP_Shap_M1_change,SHAP_Shap_oilprices,SHAP_Shap_variable_mortgages,SHAP_Shap_infl_e_next_year,SHAP_Shap_EU_fin_spread,SHAP_Shap_kofbarometer,SHAP_Shap_Saron_Rate,SHAP_Shap_M3_change,SHAP_Shap_M2_change,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Linear_Pred,SHAP_Shap_Constant
2015-03-01,2016-03-01,-0.4835425102155177,0.0452448775781988,0.2906658557497761,0.32651829263908966,0.2796161014897023,0.1742141228588343,-0.4835425102155177,0.0452448775781988,-1.1597876798767892,-0.5585614490200008,0.36922658799407043,0.6308620893403145,0.2337105053659661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014652779269474949,-0.0019782227357521553,-0.062465268786683056,0.0,-0.0024424000633018507,0.0,-0.0038569632065686504,0.0,-0.16949748695970102,0.0,0.030453670375487588,-0.005567674066172113,-0.053131738668597904,0.0,-0.02885906863556488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35724280959452775
2015-06-01,2016-06-01,-0.2309070414847625,0.025393588205258,0.14872086460733222,0.18320775714775567,0.06569001277950101,0.39073637562180397,-0.2309070414847625,0.025393588205258,-1.2023110981006724,-1.000808038367218,0.3677923900544222,0.6146880926305569,0.13229528136525007,0.0,0.0,0.0,0.0,0.0,0.0,-0.01108555330288219,0.0,-0.01058742298557403,-0.02841290394342428,-0.05886678230500298,0.03549570664407175,0.0,0.0,0.0,0.0,-0.16493738266019212,0.026065095706268925,0.059166619403276076,0.0,-0.05088507926194817,0.0,-0.022310975205185962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25175226611585094
2015-09-01,2016-09-01,-0.1371437538706388,-0.0815778177670978,0.14281924596571952,0.1544307053757673,0.0030875732550628,0.5629930357006651,-0.1371437538706388,-0.0815778177670978,-1.2023110981006724,-1.045092856475538,0.270373147457903,0.6142617043659279,0.15565568446756645,0.0,0.0,0.0,0.0,0.0,0.0,-0.01563623789713194,0.0,-0.02101956506140357,-0.10474173933947996,-0.08462684975602605,0.044285615743989024,0.0,0.0,0.0,0.0,-0.18818078160949409,0.0,0.05937458294164353,0.0,-0.07030021189284423,0.0,-0.03659987649264914,0.0,0.0,0.0,0.0,0.0,0.0,-0.009967349452648155,0.34583459504894665
2015-12-01,2016-12-01,-0.3244976139693989,-0.0815778177670978,0.14270700127110023,0.16880343431311706,0.059010027386967506,0.43050988996773903,-0.3244976139693989,-0.0815778177670978,-1.1629725530339918,-0.9770202599772126,0.2807803958803517,0.5908421194774944,0.19340320950751877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01172505104850552,-0.08097943553565176,-0.08541102083553027,0.06669992200058789,0.0,0.0,0.0,0.023165321630368052,-0.20687369862420898,0.036264751983430744,0.04474454576658858,0.0,-0.07690174930027367,0.0,-0.04081236773994836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2502509639360454
2016-03-01,2017-03-01,0.1182657315096591,-0.10487998704422624,0.2320691871191696,0.2193510641500532,0.04979401170892981,0.7159951517405734,0.1182657315096591,-0.10487998704422624,-1.1629725530339918,-1.000808038367218,0.40903220665131046,0.8169389056827292,0.5529396756187052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022730782059365216,-0.01697654761714895,-0.08922898247344965,-0.07923283692018576,0.07508123900800887,0.0,0.0,0.0,0.0,-0.2266080038610238,0.028584563964091942,0.0,0.06215508579446601,-0.07823127781299463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032571458690359066,0.20973609624301598
2016-06-01,2017-06-01,0.211977293329113,-0.3925293191426426,0.3553267780590286,0.34357555945926704,0.36542824452207734,0.8881755997444745,0.211977293329113,-0.3925293191426426,-1.1597876798767892,-0.9613875482682666,0.08931003558540201,0.3718564600575291,0.29750118935180736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017286966271827776,-0.10119773863817676,-0.12511916448971125,0.058384990009015765,-0.0112934671809458,0.0,-0.03574809400435452,0.0,-0.32983123063444986,0.0,0.0,0.0,-0.11790482236556137,0.0,-0.040910676046917636,0.0,0.0,0.0,0.0,0.0,0.0,0.029867138071881127,0.29851071240840543
2016-09-01,2017-09-01,0.5106385514639378,-0.2379100909859488,0.60009495108531,0.6044983294055881,0.5603250701135682,0.9874723588117849,0.5106385514639378,-0.2379100909859488,-1.0916999701163554,-0.7572129780924364,0.0721983425743033,0.26509870826035437,0.5711946831230625,0.0,0.0,0.0,0.0,0.0,0.0,-0.007904886652840892,0.0,-0.008847946240573383,-0.05487884191138691,-0.0556384432561249,0.09188412892436498,0.0,0.0,-0.033637066107799894,0.0,-0.27002946120461313,0.0,-0.016915856332513666,0.0,-0.0790921757232884,0.0,-0.060173222095363306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2573236796141908
2016-12-01,2017-12-01,0.7058486844918832,-0.2375858085587268,0.8029920935280338,0.8076044961900141,0.8900686426776615,0.9984349265753952,0.7058486844918832,-0.2375858085587268,-1.1597876798767892,-0.8913308118217778,0.0448336693382955,0.2551637534921269,0.555847463717426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021645444163183005,-0.01230738595136502,-0.058222394802950175,-0.057616080605644916,0.11830419700828294,0.0,0.0,-0.01624616063102219,0.0,-0.27914028278263225,0.0,-0.022922331153694613,0.0,-0.07276924245935171,0.0,-0.05382284073150564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2388021577143398
2017-03-01,2018-03-01,0.5770491780988429,-0.1784907206497266,0.6272510823667177,0.6326278865649537,0.5708405386009987,0.9987655089094177,0.5770491780988429,-0.1784907206497266,-1.153596981434113,-0.7572129780924364,0.0721983425743033,0.2551637534921269,1.4660513136420235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014151619503955049,-0.06069357971770292,-0.05046465024031527,0.08823363223897324,0.0,0.0,-0.013890166924384753,0.0,-0.2436078836485786,0.0,-0.020660204884388876,0.042850679682119065,-0.07397197685442707,0.0,-0.05143543019056704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2193004793935007
2017-06-01,2018-06-01,0.4772563274701547,-0.2647019222216329,0.5389267852348056,0.5554599807339153,0.550502044285701,0.9060724862825391,0.4772563274701547,-0.2647019222216329,-1.2023110981006724,-1.0373178900398905,0.11918252383714624,0.6308620893403145,0.5470836255340236,0.0,0.0,0.0,0.0,0.0,0.0,-0.004869495079915229,0.0,-0.01727849871679757,-0.005331767573219236,-0.062627058518772,-0.006291733540852478,0.0,0.0,-0.01907430293926609,0.0,-0.3223928631239338,0.0,-0.0037559129627392496,0.0,-0.055158828817167715,0.0,-0.03425613842827245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26633467747930273
2017-09-01,2018-09-01,0.3692064162161834,-0.3244976139693989,0.4772329622275824,0.47109252959640485,0.48122528149571936,0.8745763299889702,0.3692064162161834,-0.3244976139693989,-1.2023110981006724,-1.045092856475538,0.12874193765942346,0.6630925518232189,0.5866482669152577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005898822939395587,0.0,-0.03306638373324239,-0.057826520521876895,-0.027602493341094016,0.0,-0.022090280761739703,-0.017113754081462606,0.0,-0.2815270750388941,0.0,-0.009983999487244856,0.0,-0.055558786699253154,0.0,-0.045827152541989734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23199765517679422
