Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_PPI,SHAP_Shap_real_turnover,SHAP_Shap_retail_turnover,SHAP_Shap_Manufacturing_EU,SHAP_Shap_Vol_loans,SHAP_Shap_Exchange_Rate_CHF,SHAP_Shap_gdp_index_ch,SHAP_Shap_gdp_index_eu,SHAP_Shap_Wage_change,SHAP_Shap_Business_Confidence_EU,SHAP_Shap_CH_2int,SHAP_Shap_infl_e_current_year,SHAP_Shap_fin_spread,SHAP_Shap_unemployment_rate,SHAP_Shap_M1_change,SHAP_Shap_oilprices,SHAP_Shap_variable_mortgages,SHAP_Shap_infl_e_next_year,SHAP_Shap_EU_fin_spread,SHAP_Shap_kofbarometer,SHAP_Shap_Saron_Rate,SHAP_Shap_M3_change,SHAP_Shap_M2_change,SHAP_Shap_headline_1m,SHAP_Shap_core_1m,SHAP_Shap_sin_cycle_1,SHAP_Shap_cos_cycle_1,SHAP_Shap_sin_cycle_2,SHAP_Shap_cos_cycle_2,SHAP_Shap_Constant
2016-09-01,2017-09-01,0.5106385514639378,-0.1784907206497266,0.5296606839034597,0.5342725475471103,0.4748991536839089,0.9363988175253037,99.99999999999717,-1.6124098466361412,0.5560062510773027,0.5192507572735159,0.5106385514639378,-0.1784907206497266,-1.1629725530339918,-0.9613875482682666,0.1328721049976167,0.5331210650071583,0.0,0.5391641225914711,0.5391480056398729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073389568172952235,-0.04345737891865397,-0.0773153858744327,0.06058845057663331,0.0,-0.004402524086415172,-0.042427210013624726,0.0,-0.20995733693012406,0.0,0.0,0.025099017705921062,-0.08931272120558963,0.0,-0.03730033194535845,0.0,0.0,0.0,0.0,0.0,0.0,0.2473336568592129
2016-12-01,2017-12-01,0.7058486844918832,-0.2309070414847625,0.7307796742449802,0.7442378878349007,0.8775112901500325,0.9772471836540435,99.99999999923179,-0.9674495830164423,0.18581477013775022,0.4998036057807209,0.7058486844918832,-0.2309070414847625,-1.1629725530339918,-0.8913308118217778,0.09801269537828,0.5252252091309195,0.0,0.7479984791695384,0.7536498981414611,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030491004844716008,0.0,-0.008524133558440387,-0.03573671958997373,-0.0858559084145178,0.07015558892663303,0.0,0.0,-0.030140693393874766,0.0,-0.21830111848330847,0.0,0.0,0.008913228608042747,-0.08568878149052395,0.0,-0.042794111240063056,0.0,0.0,0.0,0.0,0.0,0.0,0.2001147076357355
2017-03-01,2018-03-01,0.5770491780988429,-0.2375858085587268,0.6574263362532982,0.661667232607637,0.6636301614865788,0.982610276822529,70.86177041723583,-9.999999999927782,3.2489601972253954,0.35521071191389364,0.5770491780988429,-0.2375858085587268,-1.1629725530339918,-0.9613875482682666,0.07593153301576538,0.3718564600575291,0.0,0.666341597841438,0.6697219287924039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040280182206025444,-0.0049014028432652346,-0.05069401609292702,-0.10957231989036353,0.05871404307774203,0.0,0.0,-0.03395313961586427,0.0,-0.264756008500864,0.0,-0.011773455447787224,0.0,-0.10716458376796163,0.0,-0.034582889198776126,0.0,0.0,0.0,0.0,0.0,0.0,0.3251259819419427
2017-06-01,2018-06-01,0.4772563274701547,-0.1371437538706388,0.49507770833907655,0.5013970805694475,0.3774874599515737,0.9724892508452877,22.51085071934276,-9.999999999995579,2.2014514277932955,0.23850124216545676,0.4772563274701547,-0.1371437538706388,-1.1629725530339918,-0.8846061718801757,0.1239956835564548,0.3718564600575291,0.0,0.5014948678894382,0.5063931707620287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006919935946689826,-0.03202050411748809,-0.08484284066442206,0.044379048870435,0.0,0.0,-0.02424035499287496,0.0,-0.23949967643747458,0.0,-0.012016869647037205,0.024732133364787058,-0.07861667253273213,0.0,-0.023323565036257928,0.0,0.0,0.0,0.0,0.0,0.0,0.2952254832691159
2017-09-01,2018-09-01,0.3692064162161834,-0.2379100909859488,0.43567844444487436,0.4219704967447602,0.3685904533173166,0.9225049995352833,92.35416395380675,-9.999999999999998,3.6824768316825502,0.3967094200763794,0.3692064162161834,-0.2379100909859488,-1.1597876798767892,-0.9613875482682666,0.2097351736294328,0.3718564600575291,0.0,0.43890650352445704,0.4248550776662912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00435909223942281,0.0,-0.01765986240824746,-0.06137959026541141,-0.009508921426832437,0.0,-0.014007492074844205,-0.009397905266452388,0.0,-0.221236277464344,0.0,-0.001672134336393849,0.0,-0.06338695639215092,0.0,-0.03229468521293265,0.0,0.0,0.0,0.0,0.0,0.0,0.19699282610108335
2017-12-01,2018-12-01,0.3096180831721362,-0.1371437538706388,0.33818060257540533,0.3261685543755368,0.199596139037835,0.8733223239859964,63.16901818273966,-9.999999998774834,3.5311071708381596,0.37477816280431614,0.3096180831721362,-0.1371437538706388,-1.1597876798767892,-0.8913308118217778,0.2363944157873554,0.5208852935738584,0.0,0.3388791250574449,0.3268483628775201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006991742631890507,0.0,-0.022715160611996094,-0.05462079522202629,-0.011386380047087452,0.0,-0.008462514386021183,-0.016388544457282488,0.0,-0.24843100496655057,0.0,0.0,0.0445041196576019,-0.07863954984743732,0.0,-0.020046943125529494,0.0,0.0,0.0,0.0,0.0,0.0,0.2860347617675807
2018-03-01,2019-03-01,0.4957130017502642,-0.0815778177670978,0.4530744968277614,0.4483599987142449,0.3332646902990275,0.9275413134175253,67.00485834779666,-9.999999999999998,3.633369049181068,0.3808435938988926,0.4957130017502642,-0.0815778177670978,-1.153596981434113,-0.8846061718801757,0.2551637534921269,0.5982825822619553,0.0,0.4562904589329544,0.45164457863498003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003308652653376598,-0.05312730206032612,-0.008492046403942398,0.0,-0.007500925551407647,-0.011509913701235662,0.04718123454867615,-0.20274982356480153,0.0,-0.0061143260460408905,0.0,-0.061433586325450124,0.0,-0.018837366725674157,0.0,0.0,0.0,0.0,0.0,0.0,0.2443148907164812
2018-06-01,2019-06-01,0.6980791265353226,-0.1054813702986656,0.640146910659197,0.635726460628997,0.6457094720720858,0.9647297402902453,99.99999999999999,-9.9999999982266,4.169339571121807,0.4370366387884543,0.6980791265353226,-0.1054813702986656,-1.1629725530339918,-0.8913308118217778,0.3084699227424204,0.5770491780988429,0.0,0.6469719397008394,0.6424357915810752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006602274713298522,-0.055620049635062556,-0.012952299100384604,0.0,0.0,-0.01508930358824321,0.038302741974392096,-0.25414215257025075,0.0,-0.005524408314896367,-0.01307866405332821,-0.0675010829900387,0.0,-0.015006572378331496,0.0,0.0,0.0,0.0,0.0,0.0,0.30173269507077666
2018-09-01,2019-09-01,0.3682466372715076,-0.1054813702986656,0.3444590902674884,0.33309422128600524,0.22441822515640608,0.8481016687367973,99.99999999999999,-9.841963338151743,4.407141826193601,0.4664857160038713,0.3682466372715076,-0.1054813702986656,-1.1629725530339918,-0.9613875482682666,0.4544636341404562,0.5982825822619553,0.0,0.34696379053296905,0.3332742247701602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007765772627861953,-0.05835480146567272,0.0,0.0,-0.012854256620088711,-0.012298329988571189,0.0,-0.25907769014414145,-0.011017794517268174,0.0,-0.01937532953219406,-0.057170865893836895,0.018188374223836956,-0.01606996710895256,0.0,0.0,0.0,0.0,0.0,0.0,0.3303150633760852
2018-12-01,2019-12-01,0.3691647183324598,-0.0399983765390743,0.2964937197607998,0.2825526966660621,0.167414438204852,0.8168795305119214,66.13937593338316,-9.999999993313418,4.159796064778655,0.4262505995664285,0.3691647183324598,-0.0399983765390743,-1.1597876798767892,-0.8913308118217778,0.4772563274701547,0.5982825822619553,0.0,0.29557715105465815,0.2817748347063639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005183374885613624,0.0,-0.05810859608029368,-0.004817873431331192,0.0,-0.002441224862275493,-0.008847850768769868,0.0,-0.17292164966555051,-0.005828945649097125,0.0,-0.01890773647817262,-0.02764458490735016,0.0,-0.012272357676929038,0.0,0.0,0.0,0.0,0.0,0.0,0.276975817866309
2019-03-01,2020-03-01,-0.0801761132071199,0.1328721049976167,0.14235474708729326,0.15552038832819115,0.04538954328021306,0.34371855970698145,13.622802238426901,-9.999999999999995,2.2302687485778185,0.2062884669728749,-0.0801761132071199,0.1328721049976167,-1.000808038367218,-0.4777355470935163,0.5106385514639378,0.5982825822619553,0.0,0.13850282937169037,0.1532267946122413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00824901749757135,0.0,-0.03955518526604327,0.0,0.0,-0.0033728566823374717,-0.008174629855916273,0.03931034420644166,-0.12921992586943704,-0.007171536093297102,0.0,-0.02303684118227313,0.0,0.0065028438884145,-0.01608116404110434,0.0,0.0,0.0,0.0,0.0,0.0,0.30542203839559784
2019-06-01,2020-06-01,-0.7581105002145705,0.2384944634538754,0.6732891026687612,0.6782152606440986,0.9932214536085843,0.05153490543420144,7.756051987987721,-9.999999977905881,1.6340890887922108,0.13629209436583273,-0.7581105002145705,0.2384944634538754,-0.894833648644102,-0.3244976139693989,0.5208852935738584,0.5995173192975489,0.0,0.6841360219182454,0.6867704738310118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02080439094536021,0.0,-0.008022947506591783,0.0,0.0,0.0,-0.005208713132980741,0.05744723468308606,-0.039939523187397956,-0.006973631424505858,0.009369178538083724,-0.02033903600550912,0.06882692325290048,0.0,-0.014704972452219616,0.0,0.0,0.0,0.0,0.0,0.0,0.17723555974365002
2019-09-01,2020-09-01,-0.3137872354086468,0.3939075833012673,0.4056949401946945,0.4193512563048378,0.5008319564288582,0.10172639592186551,5.706756731529369,-9.999999999999902,1.4106464444989928,0.10182783648993694,-0.3137872354086468,0.3939075833012673,-0.7572129780924364,-0.1042786037897869,0.5386646238818571,0.6980791265353226,0.0,0.4139390593845394,0.42340379597103567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009290880156780213,-0.011679274880593817,0.0,0.01677845101848501,-0.0060223548183344616,0.0,0.0,0.043506830082064366,-0.05847197833154473,0.0,0.02472719091510842,-0.004682445747284644,0.059135599782788685,0.003699313059741322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31762537206405694
2019-12-01,2020-12-01,-0.3564639118141421,0.3797065754404194,0.4673178635840452,0.4746459169749774,0.5419469863046186,0.06153308396975842,2.7072457938025556,-0.41780337138570167,0.43342838775146914,0.2607307552194736,-0.3564639118141421,0.3797065754404194,-0.4835425102155177,-0.078091993123941,0.5565132004536011,0.7058486844918832,0.0,0.47491771829836255,0.4799675395210108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009231369753944785,-0.015153293436017389,0.0054288027878875295,0.0,0.0,-0.005870110741739459,0.039173251847119665,0.010717253792106494,0.0,0.04442131183467191,-0.011240100316012587,0.05728635367739526,0.0,-0.004924388264866613,0.0,0.0,0.0,0.0,0.0,0.0,0.2690988640138194
2020-03-01,2021-03-01,-0.374674542625808,0.2363944157873554,0.35037249138932236,0.3659885521979976,0.3734052719361485,0.13132125180116058,6.762353897774498,-1.7277875969238166,0.8679398403121177,0.3715493826266581,-0.374674542625808,0.2363944157873554,-0.8846061718801757,-0.3244976139693989,0.5240143171831733,0.6984676044331503,0.0,0.3566308854894254,0.36807322862095176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006015388501544643,-0.012189558120580575,0.0,0.0,0.0,-0.010219308631650697,0.040468375455728095,0.01948662353820151,0.0,0.047254278311841695,-0.009389546874073595,-0.03809065001705543,0.009605564288781567,-0.013306479851238513,0.0,0.0,0.0,0.0,0.0,0.0,0.20879050618894598
2020-06-01,2021-06-01,0.2523476482182651,0.2362599837253398,0.11878518481606726,0.11528614102593569,0.0002588129488369299,0.5616071763689908,5.038111539059951,-0.4498638925395752,0.3883592639741648,0.4401065806765082,0.2523476482182651,0.2362599837253398,-0.8913308118217778,-0.3304947437597575,0.569940375856195,0.9204816366966462,0.0,0.11420375308539518,0.1117063432391322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013418419049978638,-0.01414618885766848,0.0,0.0,0.0,-0.007973456838107577,0.04105925439089223,0.010994165616151496,0.0,0.044913085849826964,-0.009436650351199114,-0.039802008149653796,0.007486485084453154,0.008290354186548509,0.0,0.0,0.0,0.0,0.0,0.0,0.20829336184407504
2020-09-01,2021-09-01,0.4675283229617299,0.1448117691221551,0.2081984767898604,0.1958581380868858,0.10414597412209119,0.7949352780829707,10.992716063792471,-2.2503280741724314,1.0142195767270417,0.3842660579856101,0.4675283229617299,0.1448117691221551,-0.7581105002145705,-0.3907521106108369,0.5106385514639378,0.6980791265353226,0.0,0.20515479923430832,0.19469047313405757,-0.012025693377929057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013249642782493402,-0.02466608991713721,0.0,0.0,0.0,-0.013236509636771112,0.03761447089675101,-0.07941624203815839,0.0,0.0335631211304373,-0.019584222182882204,-0.04237109856826411,0.0,-0.010547033926502006,0.0,0.0,0.0,0.0,0.0,0.0,0.28873070952510427
2020-12-01,2021-12-01,0.8145733248906772,0.1239956835564548,0.49977956235532545,0.5098854595519828,0.4768974787107379,0.9695356637389766,27.993197595541673,-9.999999999999897,2.7467995290408664,0.2608552001491767,0.8145733248906772,0.1239956835564548,-0.7581105002145705,-0.3925293191426426,0.5106385514639378,0.6049458903922833,0.0,0.5143781343014582,0.5149588278592998,-0.008199092815566467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02449083637069828,0.0,-0.009629451703143221,0.0,-0.015072797127282116,0.0372988997939528,-0.0704083822486017,0.0,0.02494939734580645,0.032949872536527584,-0.04315295026003491,0.0,-0.01296388012356962,0.0,0.0,0.0,0.0,0.0,0.0,0.2127149045290643
