Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_PPI,Shap_real_turnover,Shap_retail_turnover,Shap_Manufacturing_EU,Shap_Vol_loans,Shap_Exchange_Rate_CHF,Shap_gdp_index_ch,Shap_gdp_index_eu,Shap_Business_Confidence_EU,Shap_CH_2int,Shap_infl_e_current_year,Shap_oilprices,Shap_M1_change,Shap_EU_fin_spread,Shap_M2_change,Shap_kofbarometer,Shap_fin_spread,Shap_variable_mortgages,Shap_M3_change,Shap_Wage_change,Shap_unemployment_rate,Shap_infl_e_next_year,Shap_Saron_Rate,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_time_index,Shap_Constant
2016-09-01,2017-09-01,0.6499245207629123,-0.7172365744956721,-1.4022834113305294,-1.2842046129783569,-0.1431940564061484,0.19510574144499734,1.8691294603886521,1.025304282008279,1.0149768272063437,31.457193380180275,9.999999999491067,-3.9787907131134017,0.32403273256143156,0.9812655701839108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09336195124798807,-0.10062800875563636,0.0,0.0,-0.07689906775912426,0.0,-0.11358705008188154,0.0,-0.015873293526962283,-0.21649048804983562,0.0,0.0,-0.015312731534370327,-0.008838701071301136,-0.06968494575415186,0.0,0.0,0.0,0.0,0.0,0.0,-0.46519566199834433,0.4586353252839239
2016-12-01,2017-12-01,0.8352077270444624,-0.4409159687146946,-1.4022834113305294,-1.1889245208247523,-0.1412280919067754,0.0027728372861801,1.6284916868780097,1.1437604596025086,1.138921462849196,99.99999999999999,-9.9999996841005,3.3843799837157187,0.39326774061253617,0.9993260167489146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004599547314990238,-0.030828238750477313,-0.059378676341939565,0.0,0.0,-0.03985304802439132,0.0,-0.05425578833456531,0.0,-0.011165612964639962,-0.15467590255788635,-0.009294555145090767,0.0,0.0,0.0,-0.03899414258239885,0.0,0.0,0.0,0.0,0.0,0.0,-0.340783560817215,0.30291310411890016
2017-03-01,2018-03-01,0.7922465951253344,-0.2555764736385413,-1.36920640375493,-1.1289546816820817,0.3483109044570831,0.643933185816703,1.0979331834337458,0.7723467908820234,0.7712783170517036,99.99999999999999,-0.7121762763122477,0.13380433172427297,0.6260167519598573,0.9604999685900177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03499132764344154,-0.04158161235550497,0.07720328548253579,0.05917169927439149,-0.05910521116622086,0.0,-0.0724566340801416,0.0,0.0,-0.1641715389999762,0.0,0.0,0.031166642458549387,0.0,-0.037723223765987725,0.0,0.0,0.0,0.0,0.0,0.0,-0.36905434613283516,0.3559657932900902
2017-06-01,2018-06-01,1.1400673781712278,-0.3747694568706272,-1.4022834113305294,-1.1289546816820817,0.3483109044570831,0.643933185816703,2.2947306367996245,1.1755360322190644,1.1545095740867166,25.053624210278365,9.999999999999998,-4.25647587492596,0.37631301132132733,0.9721638167871516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028283542250954873,-0.016134953155759944,0.0,-0.0665197185277941,0.0,-0.05349309916464584,0.0,0.0,-0.15247846922664907,-0.016075023648406832,0.0,-0.027910220652848452,-0.006100266116886632,-0.01948639502077244,0.0,0.0,0.0,0.0,0.0,0.0,-0.35595612831412143,0.3676683592082125
2017-09-01,2018-09-01,0.9846101138386132,-0.2031045228923389,-1.4022834113305294,-1.1289546816820817,0.643933185816703,2.564858959294547,1.4106660583049375,0.7743234984344949,0.737019747500998,8.41501929248543,9.999999999999993,-3.753157398554562,0.3360433897186415,0.852011974587201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10047332313925672,-0.043383101497752485,-0.02854434492556579,0.08590272434580157,-0.06477591022370956,0.0,-0.0692299341153789,0.0,0.0,-0.1846305345184124,-0.035476481046194046,0.0,-0.03745886506309299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3289332413951882,0.40295184240789717
2017-12-01,2018-12-01,0.6891110180748505,-0.1001150136831441,-1.4022834113305294,-1.1289546816820817,0.8352077270444624,2.5968421091281613,0.6228777292044712,0.47001769969107005,0.4657498690286732,11.764114648445279,9.999999999963938,-4.608105402998382,0.4377453626001013,0.75046578372653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006522214744825639,0.0,-0.021583811139116824,-0.018176871289565473,0.0,-0.028971999979042488,0.0,-0.02928659050596085,0.0,0.0,-0.12764344129860206,-0.006519100947628975,0.0,-0.021198076756706048,0.0,-0.0058773770420444725,0.0,0.0,0.0,0.0,0.0,0.0,-0.26157898136819224,0.427243451388541
2018-03-01,2019-03-01,0.7264280628502817,0.197006545721301,-1.316989762101528,-0.8799085592074718,0.7922465951253344,2.564858959294547,0.28028714279915157,0.3713305866779531,0.40243519978774533,16.50423233516379,9.999999995451228,-4.8153751677235155,0.47738866718048795,0.7342845282426523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09025132567190966,-0.04227982760614179,-0.0427689532770466,0.0967184424072347,-0.03553413198616376,0.0,-0.041226352499152484,0.0,0.0,-0.09350674029863697,-0.026484135611423053,0.0,0.0,0.0,-0.021162990991008934,0.0,0.0,0.0,0.0,0.0,0.0,-0.15213300579551164,0.46513291570724186
2018-06-01,2019-06-01,0.5984537326090056,0.436851062708854,-1.36920640375493,-0.8327761477046387,1.1400673781712278,2.5968421091281613,0.026115422918857364,0.2622723425899944,0.29891605947048006,30.000882636475417,9.999999999999405,-6.282745941431333,0.6455924204602084,0.6276454619660383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017662257884088258,0.0,0.12220098506878194,-0.02820331138098564,-0.0064841955769582744,0.09802583184106503,-0.024223136151655236,0.0,-0.03439978210634587,-0.025003236770982203,0.0,0.0,0.0,0.0,-0.033700649494742496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06820161545986803,0.454502430624633
2018-09-01,2019-09-01,0.148203431847449,0.6090771937793615,-1.2842046129783569,-0.4592554988597824,1.2227942030554215,2.818211377429198,0.2124046244372732,0.30026487212615854,0.2888368797832075,20.60960086051706,2.5382995002893236,-1.9812293513958164,0.957500530328747,0.37319539070081426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01885525457563539,0.0,0.17324996702035494,0.0,0.0,0.1351520269335697,-0.047842393202421674,0.0,-0.04909212348813576,-0.02365694768286315,0.0,0.06770264021069898,0.0,0.0,-0.02158626790079079,0.0,0.041214518173876925,0.0,0.0,0.0,0.0,0.0,0.0,-0.06934246241155437,0.4221334907022621
2018-12-01,2019-12-01,0.1556449901822354,0.6499245207629123,-1.193214181084916,-0.21982689505342967,1.1007326913034632,1.3264134701666679,0.24431225435105428,0.30141659057538933,0.2606620261744674,5.9219785361027615,-1.7411260998569225,1.578755603012685,0.5452268181492445,0.27273167931197584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01648925405663993,0.0,0.05257246582247398,0.0,0.0,0.16543499419724914,-0.03981012656664266,0.0193803616819759,-0.03857403259121921,-0.020360809579412498,0.0,0.06355657293733212,0.0,0.030722364097671317,0.0,0.0,0.03300253296507189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36751094374177246
