Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_Business_Confidence_EU,Shap_oilprices,Shap_infl_e_next_year,Shap_unemployment_rate,Shap_PPI,Shap_M3_change,Shap_Exchange_Rate_CHF,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Constant
2015-03-01,2015-09-01,-0.6613065813612096,0.04321411548833254,-0.5466495803413629,-0.26541825837753663,0.3880790082122054,0.6201582581628302,0.4963494122893644,0.5308692847417524,0.52640682810448,13.032722939654906,-0.04476741047623378,0.0692124456260771,0.3248675781758456,0.023431164552678265,-0.10599227619083607,-0.001173022303600213,0.02421581411912327,-0.09066400260874179,-0.007542916131593529,-0.00664390159730773,0.04271291814812087,0.0013244421949583083,0.0011834111502259659,0.0042100256761198485,-0.025309994231177853,0.0,0.0,0.0,0.20689361726304145
2015-06-01,2015-12-01,-0.8846061718801757,-0.2150276036781307,-0.8732656704938613,-0.5964590416870585,0.16423130099765254,0.3969457392566156,0.4483354589955006,0.4929279147872117,0.4905065343506279,8.558403917493093,-0.6448312485944123,0.03363267142601526,0.3329574597223544,0.04323053658073298,-0.32874539564033967,0.007758273556269811,0.022664381675992808,-0.10374325371229144,-0.0019058122958663464,-0.006625681654702339,0.023850541908742716,0.001589614311902557,0.0,0.0009706108265054997,-0.002113243249540254,-0.01887731732163317,0.0,0.0,0.19014967791682913
2015-09-01,2016-03-01,-0.4835425102155177,-0.4409294536475983,-1.0998345800238951,-0.8793319523695331,-0.020591915112699866,0.22333433281719417,0.0018158725900607,0.09245746601413696,0.09515614790219269,9.208128826869315,-0.04488180111638264,-0.3993715766876714,0.3678591597976,0.42953296175907807,-0.5553143051703735,0.005419745564065182,0.01782977404823872,-0.13220710788135917,0.0009756878754644923,-0.0075325411590083605,0.016777817879722247,-0.0019402518515912529,0.0,-0.001926298489659386,0.01792422779561554,0.0,0.0,0.0008373441688006439,0.19822645357248653
2015-12-01,2016-06-01,-0.2309070414847625,-0.474326241849532,-1.1111750814102095,-0.9221039834057976,-0.0617894918367945,0.12322844921956855,0.059252907106223794,0.14327296358705352,0.14546961041403678,19.10305542208196,-0.44532459342901404,-0.2948630033431712,0.3754569262821162,0.7301353845486496,-0.555860776239836,0.004416888290754283,0.009570544528704388,-0.13039569208208943,-0.0016779501995826357,-0.012042704401243016,0.016245580813811854,0.0,0.0007143258039880862,-0.009275501687505721,0.0,0.004004562257431014,0.0,0.0007917077943833721,0.1991827732716518
2016-03-01,2016-09-01,-0.1371437538706388,0.17726511858393573,-0.48354251021551775,-0.29447141221110584,0.5658430793578972,0.7491746607867,0.0988529390781569,0.19531929123075337,0.18321133603554182,99.99999991747373,-8.691329235527915,3.1538072237781196,0.34212999803052896,0.22766557540117974,0.07177179495485575,0.0036594046002764204,0.019281703463855687,-0.10727736720716408,-0.006632665642781249,0.018351648494328937,0.01378554157963457,0.0008657479652206519,0.0008887720054611038,0.0,-0.017660134166491915,0.0,0.0,0.0003252542031764033,0.17990541833356347
2016-06-01,2016-12-01,-0.3244976139693989,0.386309703547738,-0.2303605704153,-0.041302831436489384,0.7375712842576654,0.9324508927686104,0.505247042635908,0.4948583662963182,0.4926987825517258,99.99999999989554,-5.914300715300483,2.407764422411639,0.3424878665414505,0.03725905639304933,0.3249537347550735,0.0033053984623883127,0.011665843513071626,-0.07561196630127756,-0.00820274245566055,-0.007819255810318866,0.011863496611294452,-0.0021841238827478996,0.0,-0.002315456129523648,0.001108856171343403,-0.01021741717164911,0.0,0.0,0.1397633357857444
2016-09-01,2017-03-01,0.1182657315096591,-0.09453069730271937,-0.7591185975985404,-0.5376609444658342,0.28801162178355705,0.5022145095575858,0.045282320115301665,0.12891269788618995,0.1318075202237222,54.11853593034635,-3.07596052969245,1.0669738576246992,0.3716822338258405,0.698490442248155,-0.20891554882549457,0.0031766566873148625,0.01769114393158669,-0.10506190308366314,-0.0019449898627870378,0.022326258094684207,0.0048849128558298635,-0.001136091037797831,0.0005727863549266354,0.0005286045177390067,0.024273327492456833,0.0,0.0,0.0,0.1490741455724851
2016-12-01,2017-06-01,0.211977293329113,-0.5754486302502748,-1.2053121249643084,-1.0181955294425755,-0.2432903916066531,-0.027948498050900383,0.6200395851248519,0.603684935072695,0.5934307214228199,18.840055136383533,-0.6183649310756562,-0.35721375359438673,0.3690680868601822,0.9811421558806579,-0.6494513487244724,0.0026223560170266025,0.00786308684912707,-0.08342994800543131,-0.003913895016691771,-0.00694238688103081,0.006881973842608989,0.0,-0.0021160978390729916,-0.001518403549461533,0.001179188602406775,0.010827280847278705,0.0,0.0,0.14254956360743784
2017-03-01,2017-09-01,0.5106385514639378,0.36213839742815773,-0.22867949590468228,-0.06766944977041334,0.6585268786520437,0.9486841310087257,0.022052295748650398,0.1135315702638038,0.1178382990919768,26.607741214663726,0.21524980403848507,0.2619148439923751,0.3718358888973086,0.6720345012335875,0.3271812803351537,0.0014844352444040728,0.0030989953488079333,-0.08699350210952977,-0.004453911344940995,0.0,0.00841877458838739,-0.0012316836696691028,0.00148840181220875,-0.004814582102358332,-0.03788485558560325,-0.0005928676568980884,0.0,0.0,0.15643791256819548
2017-06-01,2017-12-01,0.7058486844918832,0.9227846108462501,0.2635472014407725,0.37578748016011687,1.3326590103618585,1.6384958166160146,0.047061196143227284,0.14995760840443326,0.13955275444807674,99.99999999993729,-8.3121333255314,4.006036767560548,0.37112857238424285,0.31877580736399547,0.8614286420535855,0.0029434851861765083,0.009026859487846206,-0.09046904051002827,0.004840945896807139,0.02303694737105212,0.0016694408549350753,0.0044647919561224,-0.003878251614630002,-0.005500244730611073,0.0,-0.02254672001570387,0.0,0.0,0.13776775491069831
