Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,Shap_Base_Effect,Shap_Business_Confidence_EU,Shap_oilprices,Shap_infl_e_next_year,Shap_unemployment_rate,Shap_PPI,Shap_M3_change,Shap_Exchange_Rate_CHF,Shap_headline_1m,Shap_core_1m,Shap_sin_cycle_1,Shap_cos_cycle_1,Shap_sin_cycle_2,Shap_cos_cycle_2,Shap_Linear_Pred,Shap_Constant
2016-03-01,2016-09-01,-0.1371437538706388,0.04313679689942342,-0.48408898128498024,-0.4293608493917134,0.34850138534592245,0.6357518185381218,0.03250107698595698,0.11845447695742255,0.10015213599969042,99.99999999999997,9.164532929424329,-2.9112516099230117,0.31358670183858894,0.38584437590221055,0.07177179495485575,0.0,0.012123394908621543,-0.05154020694219002,0.008716055785574012,0.020442592567616102,0.04729031783372295,0.0,0.005616574052597961,-0.0027312899163887787,-0.04556230572782238,0.005267705164460479,0.0,0.002736413151043616,0.0,-0.03099424893266781
2016-06-01,2016-12-01,-0.3244976139693989,0.3165953345081185,-0.2309070414847625,-0.17339391067094923,0.5994607646471195,0.7200783129276189,0.4110001685875968,0.38988698572980673,0.39110266142290223,44.16654080720064,-9.999999999999982,2.541177272007731,0.22674536262270548,0.06086187593432248,0.3249537347550735,0.0036878127206117117,0.02002817994376296,-0.02225418430554329,0.012033953146719508,0.0186397094828131,0.039185103756018115,0.0,-0.007871203441329041,-0.003462250526213833,0.0,-0.04029807777852801,0.0,0.0025962570074042762,0.0,-0.0306437002526705
2016-09-01,2017-03-01,0.1182657315096591,-0.17117272874918046,-0.8039763960177915,-0.6945567107189632,0.11363217460251096,0.26963398385877463,0.08377462227700785,0.18762157495967138,0.18921579400913782,8.545547579228801,-2.2639817476480433,0.4835955565295099,0.28664894213248204,0.8369434548241765,-0.20891554882549457,0.006877380598423076,0.029613962450092315,-0.016210181870549574,-0.003722587683987331,0.0029113348442721784,0.024012230926524485,0.003031405429222299,0.0,0.002433327641694143,0.023965101897559106,-0.001497983484626958,0.0,0.0,0.0,-0.03367117067230967
2016-12-01,2017-06-01,0.211977293329113,-0.6734870653165359,-1.5455623105166794,-1.204765653894846,-0.36121664077244375,-0.2678999230621766,0.7840471304317503,0.7543722826284115,0.7487029629907139,20.696369289773298,-9.999999999999174,1.4507419535683774,0.21428433420226176,0.9991322029698393,-0.6494513487244724,-0.06762030456273505,0.020416999947786486,-0.013260433200844246,0.01619027868199124,-0.012262097062711577,-0.00294805836882615,0.0,0.010274931570026133,0.008937757130701452,0.006417138527436446,0.05780855046001836,0.0,0.0,0.0,-0.047990479714906546
2017-03-01,2017-09-01,0.5106385514639378,-0.06661272641252936,-0.7916711440950408,-0.3599629412917693,0.39895307529000945,0.6016883102271997,0.3332190378100143,0.34391967505440085,0.3458769071854823,99.99999999873481,-4.009722645774158,1.4833309964010288,0.37435375152146133,0.9184219772286303,0.3271812803351537,-0.06908275813522421,0.0104323203470836,-0.005680721593514541,0.012715972714709024,-0.0018606781506381176,0.0,-0.012461806095741114,-0.008062862477062421,-0.005312862591627235,-0.05828660192967657,0.0,0.0,0.0,-0.18133825732317482,-0.07485575151281676
2017-06-01,2017-12-01,0.7058486844918832,0.5328249109646244,-0.3153121934855285,0.21197729332911308,0.9991927819386959,1.4620865678248052,0.029937226205612157,0.124000755501341,0.12138198350329346,9.291063758220725,0.4924502474670757,0.35697376199659375,0.427443527746999,0.6166714018709929,0.8614286420535855,-0.06906023114058188,0.009043582098041613,0.0,0.0,0.017199481168456765,0.011274345668917957,0.015583575525671743,0.011336009864672375,0.0056219573703253835,-0.007303416490361231,-0.06268524943857964,0.0,0.0,-0.14571410471968993,-0.11389968099583431
2017-09-01,2018-03-01,0.5770491780988429,0.17509887088182907,-0.41442416948402894,-0.31767537321778505,0.5060049945567896,1.0177331275289525,0.16156404947185182,0.2721092316203754,0.26646688624330783,6.543790158902831,-0.021974805314928486,0.15588908400923765,0.34736137010160806,0.8708209301914922,0.18345727112878407,0.01293814567473565,0.018070801517001384,-0.004538524029174544,-0.04403703448695058,0.0,0.0015029845814168719,0.0,-0.0064281062435988376,0.0,0.011068340842941842,0.00969885249876081,0.0,0.0030061310644979612,0.06478272633653849,-0.07442271800312404
2017-12-01,2018-06-01,0.4772563274701547,-0.10219632381200941,-0.7506408047539992,-0.6543732028150124,0.1693737771933712,0.6786958988384661,0.3357653750779292,0.4336150702943707,0.41950786245598887,6.622696634044861,-0.6290632159162636,0.10125054004693301,0.3639532552860282,0.9413343684689819,-0.1555799575617023,0.009117485471376674,0.0,-0.008712410543299088,-0.038763961740088046,0.0026570468999020094,0.003909980483430965,0.0021277736335502118,0.0030276965594238227,0.0,0.004091472626534298,0.06744282417651978,0.0,0.0,0.11440546843815609,-0.10591974225581385
2018-03-01,2018-09-01,0.3692064162161834,0.18467635814456432,-0.7252605174601356,-0.20428953364275415,0.5770491780988429,0.8352869645573691,0.034051342331915105,0.1323158947018519,0.13520041911684572,10.500101076028367,-0.32943658570266604,0.30702033971714715,0.4004725510019034,0.6846706928626058,0.39359190697005886,-0.020928103253261415,0.0,-0.004372744152260036,0.017913401416886136,0.020709170445026015,0.013347329964603956,0.008392502575474515,0.0,-0.004396934463102199,-0.027961582355219818,0.01708442498809256,0.0,0.0,-0.13728380055803516,-0.0914192134336991
2018-06-01,2018-12-01,0.3096180831721362,0.30423255394289583,-0.5439045505072571,-0.05430793659506605,0.7003204439038341,1.028852897287511,2.9003925079002147e-05,0.10089292006545705,0.1012225913577342,25.118405148686794,-1.3146473880055838,0.8708020758047101,0.4178937839888971,0.49420289769888703,0.632836285031857,0.0,0.017322910505812455,-0.005733190236341721,-0.016572752213575567,0.005895381720842654,0.00902538968094789,0.00946724785169183,0.007284907460082649,0.0,0.0,-0.10157250747010252,0.0,-0.0028618070225480408,-0.15888290379651632,-0.09197640756925443
