Date,Target,Horizon,Factor,Variable,Weight
2013-09-01,Headline,3,Factor_5,Manufacturing_EU,0.3194
2013-09-01,Headline,3,Factor_5,unemployment_rate,-0.2884
2013-09-01,Headline,3,Factor_5,real_turnover,-0.2635
2013-12-01,Headline,3,Factor_1,M2_change,-0.3325
2013-12-01,Headline,3,Factor_1,Saron_Rate,0.3305
2013-12-01,Headline,3,Factor_1,CH_2int,0.3268
2013-12-01,Headline,3,Factor_1,EU_fin_spread,-0.3224
2013-12-01,Headline,3,Factor_1,M1_change,-0.3157
2013-12-01,Headline,3,Factor_2,kofbarometer,0.3628
2013-12-01,Headline,3,Factor_2,Wage_change,-0.3508
2013-12-01,Headline,3,Factor_2,gdp_index_ch,0.3447
2013-12-01,Headline,3,Factor_2,Business_Confidence_EU,0.3192
2013-12-01,Headline,3,Factor_2,gdp_index_eu,0.2702
2013-12-01,Headline,3,Factor_3,fin_spread,0.5011
2013-12-01,Headline,3,Factor_3,oilprices,-0.4677
2013-12-01,Headline,3,Factor_3,unemployment_rate,0.3085
2013-12-01,Headline,3,Factor_3,kofbarometer,0.291
2013-12-01,Headline,3,Factor_3,Manufacturing_EU,0.2827
2013-12-01,Headline,3,Factor_4,retail_turnover,-0.5309
2013-12-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.4801
2013-12-01,Headline,3,Factor_4,real_turnover,-0.2874
2013-12-01,Headline,3,Factor_4,Wage_change,-0.2524
2013-12-01,Headline,3,Factor_4,PPI,0.2396
2013-12-01,Headline,3,Factor_5,Vol_loans,-0.4844
2013-12-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.4454
2013-12-01,Headline,3,Factor_5,Manufacturing_EU,0.3561
2013-12-01,Headline,3,Factor_5,unemployment_rate,-0.2959
2013-12-01,Headline,3,Factor_5,infl_e_current_year,-0.2614
2014-03-01,Headline,3,Factor_1,Saron_Rate,0.3324
2014-03-01,Headline,3,Factor_1,M2_change,-0.3302
2014-03-01,Headline,3,Factor_1,CH_2int,0.3283
2014-03-01,Headline,3,Factor_1,EU_fin_spread,-0.3236
2014-03-01,Headline,3,Factor_1,M1_change,-0.3129
2014-03-01,Headline,3,Factor_2,kofbarometer,0.3568
2014-03-01,Headline,3,Factor_2,Wage_change,-0.3506
2014-03-01,Headline,3,Factor_2,gdp_index_ch,0.3455
2014-03-01,Headline,3,Factor_2,Business_Confidence_EU,0.3221
2014-03-01,Headline,3,Factor_2,gdp_index_eu,0.2742
2014-03-01,Headline,3,Factor_3,fin_spread,0.5005
2014-03-01,Headline,3,Factor_3,oilprices,-0.4602
2014-03-01,Headline,3,Factor_3,unemployment_rate,0.3216
2014-03-01,Headline,3,Factor_3,kofbarometer,0.2959
2014-03-01,Headline,3,Factor_3,Manufacturing_EU,0.2818
2014-03-01,Headline,3,Factor_4,retail_turnover,-0.5436
2014-03-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.511
2014-03-01,Headline,3,Factor_4,real_turnover,-0.3072
2014-03-01,Headline,3,Factor_4,PPI,0.2491
2014-03-01,Headline,3,Factor_4,Wage_change,-0.2266
2014-03-01,Headline,3,Factor_5,Vol_loans,-0.5035
2014-03-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.4241
2014-03-01,Headline,3,Factor_5,Manufacturing_EU,0.396
2014-03-01,Headline,3,Factor_5,unemployment_rate,-0.3019
2014-03-01,Headline,3,Factor_5,infl_e_current_year,-0.2547
2014-06-01,Headline,3,Factor_1,Saron_Rate,0.3347
2014-06-01,Headline,3,Factor_1,CH_2int,0.3301
2014-06-01,Headline,3,Factor_1,M2_change,-0.3273
2014-06-01,Headline,3,Factor_1,EU_fin_spread,-0.3253
2014-06-01,Headline,3,Factor_1,M1_change,-0.3094
2014-06-01,Headline,3,Factor_2,kofbarometer,0.3515
2014-06-01,Headline,3,Factor_2,Wage_change,-0.3514
2014-06-01,Headline,3,Factor_2,gdp_index_ch,0.3431
2014-06-01,Headline,3,Factor_2,Business_Confidence_EU,0.3261
2014-06-01,Headline,3,Factor_2,oilprices,0.276
2014-06-01,Headline,3,Factor_3,fin_spread,0.4964
2014-06-01,Headline,3,Factor_3,oilprices,-0.448
2014-06-01,Headline,3,Factor_3,unemployment_rate,0.3261
2014-06-01,Headline,3,Factor_3,kofbarometer,0.2978
2014-06-01,Headline,3,Factor_3,Manufacturing_EU,0.2836
2014-06-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.5593
2014-06-01,Headline,3,Factor_4,retail_turnover,-0.5457
2014-06-01,Headline,3,Factor_4,real_turnover,-0.3531
2014-06-01,Headline,3,Factor_4,PPI,0.2268
2014-06-01,Headline,3,Factor_4,Wage_change,-0.2081
2014-06-01,Headline,3,Factor_5,Vol_loans,-0.5092
2014-06-01,Headline,3,Factor_5,Manufacturing_EU,0.4209
2014-06-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.3808
2014-06-01,Headline,3,Factor_5,unemployment_rate,-0.3055
2014-06-01,Headline,3,Factor_5,infl_e_current_year,-0.2543
2014-09-01,Headline,3,Factor_1,Saron_Rate,0.3361
2014-09-01,Headline,3,Factor_1,CH_2int,0.3309
2014-09-01,Headline,3,Factor_1,EU_fin_spread,-0.327
2014-09-01,Headline,3,Factor_1,M2_change,-0.3252
2014-09-01,Headline,3,Factor_1,M1_change,-0.3071
2014-09-01,Headline,3,Factor_2,Wage_change,-0.3519
2014-09-01,Headline,3,Factor_2,kofbarometer,0.3471
2014-09-01,Headline,3,Factor_2,gdp_index_ch,0.3367
2014-09-01,Headline,3,Factor_2,Business_Confidence_EU,0.3292
2014-09-01,Headline,3,Factor_2,oilprices,0.2797
2014-09-01,Headline,3,Factor_3,fin_spread,0.4924
2014-09-01,Headline,3,Factor_3,oilprices,-0.438
2014-09-01,Headline,3,Factor_3,unemployment_rate,0.3317
2014-09-01,Headline,3,Factor_3,kofbarometer,0.3021
2014-09-01,Headline,3,Factor_3,Manufacturing_EU,0.2802
2014-09-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.5813
2014-09-01,Headline,3,Factor_4,retail_turnover,-0.5394
2014-09-01,Headline,3,Factor_4,real_turnover,-0.3718
2014-09-01,Headline,3,Factor_4,PPI,0.2285
2014-09-01,Headline,3,Factor_4,Wage_change,-0.1925
2014-09-01,Headline,3,Factor_5,Vol_loans,-0.5124
2014-09-01,Headline,3,Factor_5,Manufacturing_EU,0.4495
2014-09-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.3579
2014-09-01,Headline,3,Factor_5,unemployment_rate,-0.2967
2014-09-01,Headline,3,Factor_5,infl_e_current_year,-0.2475
2014-12-01,Headline,3,Factor_1,Saron_Rate,0.3367
2014-12-01,Headline,3,Factor_1,CH_2int,0.3305
2014-12-01,Headline,3,Factor_1,EU_fin_spread,-0.3283
2014-12-01,Headline,3,Factor_1,M2_change,-0.3247
2014-12-01,Headline,3,Factor_1,M1_change,-0.3063
2014-12-01,Headline,3,Factor_2,Wage_change,-0.3529
2014-12-01,Headline,3,Factor_2,kofbarometer,0.3422
2014-12-01,Headline,3,Factor_2,gdp_index_ch,0.3337
2014-12-01,Headline,3,Factor_2,Business_Confidence_EU,0.3301
2014-12-01,Headline,3,Factor_2,oilprices,0.2838
2014-12-01,Headline,3,Factor_3,fin_spread,0.4854
2014-12-01,Headline,3,Factor_3,oilprices,-0.4231
2014-12-01,Headline,3,Factor_3,unemployment_rate,0.3394
2014-12-01,Headline,3,Factor_3,kofbarometer,0.3107
2014-12-01,Headline,3,Factor_3,Manufacturing_EU,0.2808
2014-12-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.6097
2014-12-01,Headline,3,Factor_4,retail_turnover,-0.5271
2014-12-01,Headline,3,Factor_4,real_turnover,-0.3757
2014-12-01,Headline,3,Factor_4,PPI,0.2204
2014-12-01,Headline,3,Factor_4,Saron_Rate,-0.1844
2014-12-01,Headline,3,Factor_5,Vol_loans,-0.513
2014-12-01,Headline,3,Factor_5,Manufacturing_EU,0.4505
2014-12-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.3181
2014-12-01,Headline,3,Factor_5,unemployment_rate,-0.3014
2014-12-01,Headline,3,Factor_5,infl_e_current_year,-0.2467
2015-03-01,Headline,3,Factor_1,Saron_Rate,0.3376
2015-03-01,Headline,3,Factor_1,CH_2int,0.33
2015-03-01,Headline,3,Factor_1,EU_fin_spread,-0.3293
2015-03-01,Headline,3,Factor_1,M2_change,-0.325
2015-03-01,Headline,3,Factor_1,M1_change,-0.3062
2015-03-01,Headline,3,Factor_2,Wage_change,-0.355
2015-03-01,Headline,3,Factor_2,kofbarometer,0.3354
2015-03-01,Headline,3,Factor_2,gdp_index_ch,0.3327
2015-03-01,Headline,3,Factor_2,Business_Confidence_EU,0.3285
2015-03-01,Headline,3,Factor_2,oilprices,0.2862
2015-03-01,Headline,3,Factor_3,fin_spread,0.4759
2015-03-01,Headline,3,Factor_3,oilprices,-0.3989
2015-03-01,Headline,3,Factor_3,unemployment_rate,0.345
2015-03-01,Headline,3,Factor_3,kofbarometer,0.324
2015-03-01,Headline,3,Factor_3,Manufacturing_EU,0.2961
2015-03-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.6333
2015-03-01,Headline,3,Factor_4,retail_turnover,-0.4999
2015-03-01,Headline,3,Factor_4,real_turnover,-0.4035
2015-03-01,Headline,3,Factor_4,PPI,0.2166
2015-03-01,Headline,3,Factor_4,Saron_Rate,-0.1672
2015-03-01,Headline,3,Factor_5,Vol_loans,-0.5252
2015-03-01,Headline,3,Factor_5,Manufacturing_EU,0.421
2015-03-01,Headline,3,Factor_5,unemployment_rate,-0.3153
2015-03-01,Headline,3,Factor_5,retail_turnover,0.2703
2015-03-01,Headline,3,Factor_5,Wage_change,0.2578
2015-06-01,Headline,3,Factor_1,Saron_Rate,0.3374
2015-06-01,Headline,3,Factor_1,EU_fin_spread,-0.3292
2015-06-01,Headline,3,Factor_1,CH_2int,0.3273
2015-06-01,Headline,3,Factor_1,M2_change,-0.3268
2015-06-01,Headline,3,Factor_1,M1_change,-0.3075
2015-06-01,Headline,3,Factor_2,Wage_change,-0.36
2015-06-01,Headline,3,Factor_2,gdp_index_ch,0.3327
2015-06-01,Headline,3,Factor_2,Business_Confidence_EU,0.3277
2015-06-01,Headline,3,Factor_2,kofbarometer,0.3207
2015-06-01,Headline,3,Factor_2,oilprices,0.2795
2015-06-01,Headline,3,Factor_3,fin_spread,0.4688
2015-06-01,Headline,3,Factor_3,oilprices,-0.3576
2015-06-01,Headline,3,Factor_3,kofbarometer,0.3498
2015-06-01,Headline,3,Factor_3,unemployment_rate,0.3419
