Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,RMSE,Empirical_CRPS,Parametric_CRPS,df_skewt,nc_skewt,loc_skewt,scale_skewt,PIT,SHAP_Shap_target_headline_6m_lag0,SHAP_Shap_headline_1m_lag0,SHAP_Shap_core_1m_lag0,SHAP_Shap_sin_cycle_1_lag0,SHAP_Shap_cos_cycle_1_lag0,SHAP_Shap_sin_cycle_2_lag0,SHAP_Shap_cos_cycle_2_lag0,SHAP_Shap_Factor_1_lag0,SHAP_Shap_Factor_2_lag0,SHAP_Shap_Factor_3_lag0,SHAP_Shap_Factor_4_lag0,SHAP_Shap_Factor_5_lag0,SHAP_Shap_target_headline_6m_lag1,SHAP_Shap_headline_1m_lag1,SHAP_Shap_core_1m_lag1,SHAP_Shap_sin_cycle_1_lag1,SHAP_Shap_cos_cycle_1_lag1,SHAP_Shap_sin_cycle_2_lag1,SHAP_Shap_cos_cycle_2_lag1,SHAP_Shap_Factor_1_lag1,SHAP_Shap_Factor_2_lag1,SHAP_Shap_Factor_3_lag1,SHAP_Shap_Factor_4_lag1,SHAP_Shap_Factor_5_lag1,SHAP_Shap_Constant,Shap_Base_Effect
2015-03-01,2015-09-01,-1.4541319195251925,-1.3314714478682481,-2.858135369215848,-2.2454720067299885,-0.4700534805451419,0.1299358865623039,0.015045591307104056,0.21875191802699398,0.21600259630894164,99.99999999999999,-0.09430945836311212,-1.2549438315097667,0.8953224952579257,0.4492344989665007,0.20912175975401193,-2.743652235778445e-06,5.193378705130593e-06,-2.699522250072403e-07,7.874288224030377e-22,-8.491175146477465e-22,-5.633198574633862e-06,-3.4286525977350663e-07,2.4214090524810656e-06,1.8119469931611447e-05,1.2354039172766895e-05,-4.469371757905072e-06,-0.7565958817812896,3.2672023169452076e-06,1.6476290568616594e-06,-1.2021402792892662e-05,7.922963095374328e-06,1.5159219814433874e-05,7.86569200206658e-06,7.328737960717616e-06,-1.603337215736224e-05,5.642092271227579e-06,5.578738442627703e-06,9.096388335831105e-06,0.09303946362748743,-0.900944177595342
2015-06-01,2015-12-01,-1.316989762101528,-0.6543910385656019,-2.1383566714529105,-1.4959226141511803,0.2342526069723235,0.8050068314762473,0.43903706843143875,0.40058891796902063,0.4005878418695591,24.166141219799766,-0.5461694795688963,-0.17296600965934622,0.8559946401198928,0.22282830560895864,0.05470575589748633,-5.236769042297021e-08,-8.777456466351571e-07,-8.848273829083634e-22,9.678125923941143e-07,-2.507049485080407e-21,-5.599645200349438e-06,3.3136141515151386e-05,-2.190960538339091e-05,-3.867082103414206e-06,-4.243744567373166e-06,7.19387673746228e-07,-0.5641523301730302,4.105154667332848e-06,-8.009690521605744e-08,-6.770802164127235e-06,-1.849852778157101e-05,2.627611628336882e-06,5.540341269557349e-06,-1.762934677445651e-05,-3.123368171109763e-05,1.0157782781793027e-05,1.1807821963343182e-06,-1.7071474847309404e-07,0.07502770353978312,-0.23878299842401418
2015-09-01,2016-03-01,-0.8644840978884183,-0.5793362006167846,-1.9720070154034397,-1.4290154017912748,0.2551755779823027,0.7924038481662986,0.08130932331843417,0.23817251344998944,0.23512991414477086,33.30885555471618,0.7053596149113955,-1.1724511847323116,0.8307174666208782,0.36803437471389494,0.1261113770754454,-2.9845135495844293e-06,-7.957292523495078e-08,3.6312302719071065e-06,3.2577270695176076e-22,1.0401973230196467e-21,-1.3674410853820208e-05,-1.3423130497712918e-05,2.656329866799773e-05,-1.6466904792010775e-05,3.8076328637516673e-06,5.804255957008068e-07,-0.227218111008172,-6.782946783587588e-07,-6.247074813191317e-07,-6.441124907889504e-06,-1.725729227445345e-06,2.6248487606010822e-06,2.070570534094966e-06,8.888348791224561e-06,-7.904000462983187e-05,-1.234316865221571e-05,5.8660794188872434e-06,2.688279882499689e-07,0.07548989296032343,-0.5531877419298503
2015-12-01,2016-06-01,-0.3747694568706272,-1.4564678149222854,-2.937513122001927,-2.353617848818628,-0.5115149998983803,0.1256133626233152,1.1700713378116532,0.6614598646608169,0.6556102946100371,99.99999999999999,1.3617556150502825,-2.6880532747661734,0.9151364221335914,0.8732117203707496,0.1535853756240168,-5.622210559805181e-05,-7.130174998597054e-06,2.4348694209763738e-20,0.0011788235965549448,-8.51129836117033e-21,-5.1423720427997476e-05,0.0005807979967766039,-0.0014362793714846496,7.373095373140355e-06,0.0004405254949197594,8.229171510269784e-05,-0.4898733199569725,3.902080826055958e-06,8.469902758985751e-07,0.000307965043810709,0.0007656631597016656,-1.6193734999918796e-05,1.866444538776837e-06,0.00031657568195224607,-0.0021613142210603715,0.00012137724888407279,0.00025523771122457165,5.3592441017102914e-05,0.023154528617090768,-1.078206763677514
2016-03-01,2016-09-01,-0.181689804921703,-0.6734491993729463,-2.1182855262747493,-1.5429888557958538,0.2266839646821797,0.8507388026447144,0.24182730203105354,0.31575889925359985,0.3134207528823441,76.08267640038365,1.4557862683631246,-1.959408941499284,0.8812285686948562,0.7080249256683896,0.04518493902118146,-2.017544682921459e-05,2.31741274035588e-05,4.018555693609423e-05,6.098228645273976e-20,-9.455794855493407e-21,2.564431216313889e-05,0.0005661528628856122,-0.002678783771967409,-9.308984471959466e-05,0.00052665590810503,2.2867226947748032e-05,-0.41457379735908784,2.9592792587357067e-07,5.995166190017919e-08,-0.00021512621633838335,0.0005239223341506383,5.745092667202218e-05,-1.248370702847466e-05,0.00033420351281983275,-0.0032377400152547534,4.15430813618799e-05,0.0007501819137219683,1.1337265056882904e-05,0.017795464499480513,-0.31129635595856797
2016-06-01,2016-12-01,-0.0067578301338855,0.76831690033111,-0.7099571785545219,-0.16487860025550394,1.6437778702523955,2.205545756845631,0.6007408378053855,0.45719444245096985,0.4506910499520937,99.99999999999777,-0.5581939119632103,1.2464712407531424,0.8857230505495559,0.19795061706154515,-0.10433604412869002,5.86404929466171e-06,6.145121720010965e-06,6.729242222750595e-21,-0.001270152704582808,-8.844566403710815e-21,2.897673473797936e-05,0.0006281815947017363,-0.0013250530622596268,-3.7368510967794704e-06,0.0005998388754917722,7.879109239960822e-06,0.12460123411013331,-1.816416633044296e-05,2.377471539182205e-07,-0.0002944798937062004,-0.0009579371048468291,3.403887158095927e-06,2.0919133077469305e-06,0.0005442469062821024,-0.0022486007020213923,9.012758224995128e-05,0.0007025706115694048,1.9929542880427917e-05,0.030074072880685573,0.7034373068068867
2016-09-01,2017-03-01,0.5662310222083633,0.40595218910361663,-0.9979883368805968,-0.3950838393492915,1.3588562131558473,2.0174642147003214,0.025689304341419236,0.21796880296031998,0.21224089414340322,99.99999999989662,3.8733943588604793,-2.8381876025178268,0.8468004993716666,0.5522927847936272,-0.020044936109763517,-3.3423494088495945e-07,1.3841175687414827e-06,-8.083010788294631e-05,-2.1646439764697682e-19,-2.193876359618973e-21,2.1862975304645387e-05,0.0003815145598755954,-0.00042304066823553815,0.00019248031207907723,0.0009568930289699421,-3.6547168691932146e-06,0.29280146993815,-5.281632567598138e-06,4.069295440972496e-06,0.0004886404441691849,-0.00041153128219137327,9.160887060390288e-06,-3.733802718736181e-05,0.000396471790467921,-0.0016700629891727777,0.0004324744077555475,0.00118367863267086,-2.549722759583569e-05,0.05098026718451308,0.12960655103686491
2016-12-01,2017-06-01,0.197006545721301,-0.9472436875306063,-2.4538992493949325,-1.8398565401644893,-0.017459482964038143,0.5878734317709595,1.3093085962970443,0.7066177581201981,0.7039219524766633,99.99999999999999,1.6865541464739668,-2.465789308271689,0.9083139026878485,0.8872535955705654,0.11241861017272622,-8.107703537540903e-06,-1.0012878571716138e-05,2.8459218728164114e-20,0.0013231282470764247,2.0802199412508434e-20,9.296005837904577e-06,0.00045957380174754055,-0.00040954805228323333,-4.765890878653439e-06,0.000655725778683284,2.943472329753915e-06,-0.39676434832174734,2.3690446694239278e-05,1.556726177366716e-05,0.00026167466252499335,0.0010968583773056499,-6.001567386287842e-05,2.0225648304510506e-06,0.0003041046671082467,-0.0013266874741544325,0.00021189404805205,0.0007215511396653408,1.1716784900900898e-06,0.045183127204415204,-0.7101951369407722
2017-03-01,2017-09-01,0.6499245207629123,0.6126888386609077,-0.8276328204611104,-0.2667796058513094,1.5020351351279266,2.0252550197040136,0.001386496021601543,0.20876695967465095,0.20489099156607254,99.99999999999997,1.0221159537294002,-0.2757477019503937,0.8679678709837947,0.5165834589899919,-0.06988284929932156,-4.704093032610859e-05,-2.858484159640326e-05,0.00024164288277217134,6.69367821427685e-20,8.369827556796373e-21,1.4971213107940894e-05,0.00042801092353364706,-0.0006246249916020335,-2.932165452602987e-05,0.0005783421310401777,1.8192735952859196e-05,0.22603501862382178,-8.284053242545225e-05,-3.813406637392316e-05,-0.0005338918371486249,0.00057994136082471,-6.571298349458169e-06,-1.4187638167735356e-05,0.00037386338234891386,-0.0016372546096773855,5.042665914658438e-06,0.0006827144767914656,-4.1159883383407875e-06,0.04014361882056028,0.4366244711714984
2017-06-01,2017-12-01,0.8352077270444624,1.584467755207469,0.120322121046793,0.7018708336129205,2.472677164646419,3.0565688813316934,0.5613905898028295,0.4540231050010728,0.446193096109913,55.04341115796386,1.0529282941110827,0.654816665545495,0.8771336772985066,0.19820829954320102,-0.1490025589970876,8.956189832115388e-06,-4.669566493787448e-06,1.0918331527946673e-20,-0.0013012458562911297,3.1361618095495276e-20,-8.623858229942303e-05,4.499591921836549e-05,-0.0015407937143357953,-7.367849491418032e-06,0.0007257852502695775,7.4025353210126525e-06,0.7773294812699754,-2.247628885193973e-05,-1.8598886987094996e-05,-0.0002654522818838254,-0.001133612980529206,0.00012505179809834763,-2.8248322311155424e-05,0.000264535391202885,-0.0007368274654045144,-3.255589095696669e-05,0.0005526674846524136,-1.660364284979161e-07,0.0555701649094332,0.9072016826620732
2017-09-01,2018-03-01,0.7922465951253344,0.378884450150193,-1.1862299573727746,-0.5078803898536589,1.349471409172562,1.9332903813060938,0.17086826289844978,0.2897628523082598,0.2841399097438274,99.99999999999999,0.8442088691611059,-0.38580440064150834,0.9196319529151945,0.6670656221030014,-0.03606750858042435,4.654284905094637e-06,-6.656392692533768e-06,-0.000346779351145775,-2.4188738508234845e-19,-8.33007672718336e-21,-7.084671339347563e-05,0.00020421285962485505,0.000492038619746941,-5.825109973165069e-07,0.0005363417783703928,-4.318431786655468e-06,0.14326736797156658,-3.626178408872231e-06,-2.7009096384682585e-07,0.0005041131728393411,-0.0006343931025772116,-8.594222233703607e-05,4.1081465792347566e-05,0.00012573363066931877,-0.000798346453888625,3.7687020683148865e-05,0.0006208984161109692,-4.829428324962702e-06,0.06466158986366312,0.2133000495914139
2017-12-01,2018-06-01,1.1400673781712278,-0.151667055807236,-1.6291021232991292,-1.0111105572386445,0.7591492085141028,1.2650408555652983,1.668577847925662,0.8540867179093369,0.8483771704719091,99.99999999999999,-0.9082000776259959,0.6495139043864925,0.8750357114910853,0.9287115550765885,0.012303182411762953,-7.367734094437357e-07,-7.4591582957255935e-06,-7.435371484226914e-20,0.0014767873569224246,-3.0524877410243116e-21,4.440808455979006e-06,-4.381893546590294e-05,2.970032014444207e-05,-2.0520002424217856e-05,2.255720324054347e-05,2.439352539635927e-05,-0.1468430908738994,6.166211562364803e-06,-1.6327094148702115e-06,0.00023882682269211938,0.0009110580131433506,-5.560534754328194e-05,-1.4363909417807e-05,0.00010079147641889325,-0.00122451284461512,2.53017716985174e-05,0.00010207163108120813,1.53238247566542e-05,0.05916574137615018,-0.0719939556176108
2018-03-01,2018-09-01,0.9846101138386132,0.9113766097551024,-0.5072503852919964,0.08947626387195376,1.8204088013504822,2.2997812239458306,0.005363146120349595,0.21199936646923176,0.20289335893566096,99.99999999999999,-2.232246642903468,2.8444849858922585,0.8501242165235644,0.5196986482953116,-0.10090408915408221,5.730570238504096e-05,-2.0272438283482368e-05,4.669608555879731e-05,7.852997453842732e-20,1.8841435846185287e-20,4.316839895690577e-05,-0.00014965796422703706,-0.0004132562283686686,-0.0001165235074309539,0.00022872749173418602,1.3723756209762765e-06,0.3525867815738357,-3.237991977856918e-05,2.270618826760234e-06,-0.0004987445386346732,0.0006895292318230123,1.8407064077718532e-05,-6.292513658322895e-06,-4.517458387979767e-05,-0.0007156273676383833,-9.027186508165424e-05,0.0003005060440103836,-6.516241526047212e-05,0.05569400228942373,0.5789465455339204
2018-06-01,2018-12-01,0.6891110180748505,1.9611944978117264,0.49249879262591995,1.1588985607718205,2.852963606000262,3.426591927522926,1.6181963794194787,0.8680740851061627,0.8565797085317008,46.070497852471995,0.05529878687447353,1.9336065081772833,0.8522484506214039,0.06802491587184045,-0.21203330397093684,-8.001956087754885e-08,1.9186281369275135e-06,-4.8050332931733996e-21,-0.0015097540080167755,1.2797911467803152e-20,0.0001081876057128796,-0.0002132482031914821,6.672510781168274e-05,0.00017231113731784736,-0.0007171545182256152,1.8227869807905454e-05,0.9312183411445291,-2.9528206714288108e-05,-9.404672697227252e-06,-0.0003905598735864974,-0.0011542079203075404,1.0590767898266713e-05,-2.4430732868200125e-05,-0.00012807555870890004,8.438823660618227e-05,1.187657090252701e-05,-0.000196825392771401,-1.1242789201087115e-06,0.07208228077034128,1.2120613337888386
2018-09-01,2019-03-01,0.7264280628502817,1.0326338770107486,-0.3927185307535309,0.15244878000938747,1.8712232159150366,2.414935872564445,0.09376200062567439,0.24451009966672055,0.2390455738942401,99.99999999999999,-0.19450468151580888,1.1866130833276773,0.8449646804627658,0.3637332415085607,-0.0706039623120045,1.1121193007424978e-05,-9.272859194944475e-07,-7.926848909689737e-05,-2.5931706926978877e-19,4.6564584439304424e-21,-1.5558125465993883e-05,-0.0005363962513414887,0.0006457944637638992,5.9671897095259655e-05,-0.0005720218933921265,-1.9944518424669087e-05,0.5730508028562353,-1.7399180533680708e-06,3.874916343816054e-07,0.0005312764104941578,-0.0007393925416553248,-5.9803999800777314e-05,-3.546231278154397e-05,-0.00011097442817899368,7.971870000900906e-05,0.0005915870899075937,-0.0004923329748233295,-4.600098341969712e-05,0.0835845350582712,0.40566356830469275
2018-12-01,2019-06-01,0.5984537326090056,-0.5393356769691021,-2.0332122302737594,-1.4439008116323466,0.2621567746984804,0.838365823774825,1.2945647405480987,0.7637646198622295,0.7551342957598377,23.84122674286634,-0.5881756465590944,-0.07025479137185395,0.8347160625371525,0.9149483452337598,0.0938349246443226,2.5810442281906928e-05,-5.184801197246104e-06,-1.7335419518490256e-21,0.001620579394516824,-1.1334374777290222e-20,7.511246519384439e-05,-2.7532248886565135e-05,0.00020678031758136463,0.0003643919561685313,-0.00041482465640090807,4.5318041430261615e-05,-0.2047078841818985,2.3720619164766187e-05,-2.118210139097081e-06,0.00030213513799023256,0.0012325339264246495,2.066306877905827e-05,3.388730536937072e-05,-0.0004011003756468755,0.00018219765764722345,0.00019801066526417525,-0.0004683760525706428,-0.00017600250760634107,0.0720420951461236,-0.5229503157139881
2019-03-01,2019-09-01,0.148203431847449,0.19223426275282088,-1.1007843505974888,-0.5798835328970784,1.0315137735117368,1.5523036363954457,0.0019387140702174517,0.1939384280676977,0.18925965416118815,99.99999999999999,-0.031838614625137235,0.23797351656961632,0.7974338745503678,0.46793909911521325,-0.08855842268596817,5.619784685217325e-06,3.731525426564723e-06,-9.660192358189906e-06,2.607675342027293e-21,-1.6259412324105542e-23,-5.985951026207149e-06,5.545088120316106e-07,-2.8488483247840282e-05,-9.229526025468793e-07,-7.364926593960409e-06,1.7099060264597589e-06,-0.09570403709528762,2.465814413822208e-07,3.5233826314803077e-06,-2.6434420162472504e-05,1.7294807198199616e-05,-7.043025233697869e-07,1.1394918218442248e-07,3.312642148725862e-06,-4.924595879545042e-05,1.0895176990705636e-06,5.141578882962784e-06,-2.359003788072036e-06,0.10739055991013004,0.320764494545589
2019-06-01,2019-12-01,0.1556449901822354,1.5478357991406309,0.27389161216343805,0.7709285132689049,2.2684317565382894,2.8179550122391435,1.9381952485482314,0.9783894369549512,0.9691919099556157,39.676960562043725,0.009681911434047808,1.5272184094145012,0.7529907141760382,0.03725963599879803,-0.31719176848989084,-4.0487953729705104e-07,1.1735121180221962e-07,1.3876066733412403e-21,-2.9113865816988655e-05,1.703395587642108e-21,-6.073669605343754e-07,-2.2611859491834447e-06,-6.30664184513305e-05,-1.3100525220387918e-05,-5.3869742070455225e-06,1.3182128294181977e-06,0.5669424255510976,-4.466917883537881e-07,2.8963997071068763e-06,-9.56441373394355e-06,-3.619311482183821e-05,-7.674707468393084e-06,1.1969712922994287e-06,-2.288584114867516e-07,-7.778215424318683e-05,2.3882180377998734e-05,-8.576029099849433e-06,-4.0405889220620116e-07,0.11974928063529994,1.1214040483229937
2019-09-01,2020-03-01,-0.5164958313734758,0.33989281991357945,-0.9270239876942264,-0.4308613401488615,1.1004154148750256,1.6147225050312626,0.7334015220532615,0.5262387578606481,0.522788044892267,78.14742430031254,-0.21398797318251145,0.5015952411058029,0.7666986294765015,0.13491011485034562,0.04922486112487893,3.479735615600284e-07,-3.2044965928554404e-07,-6.071966108376223e-06,-6.161645537897309e-21,3.1333663588882662e-21,7.547900648084879e-06,2.448867212007798e-06,7.957668453499771e-05,-3.168836902607091e-05,-4.040549733513625e-06,2.2676030540952704e-06,0.2928423922531013,2.5460137046258668e-08,8.370650985085869e-08,3.026658922386976e-06,-1.5790891178752704e-05,5.827190135495305e-06,-5.815525105830549e-07,1.3771769166977068e-06,5.2278291413006976e-05,1.0752609937732672e-05,-5.323791456462077e-06,4.452504795816706e-06,0.1287990569076517,-0.17256106269813998
