Date,Target_date,Actual_direct,Forecast_median_direct,CRPS_direct_parametric,CRPS_direct_empirical,RMSE_direct,PIT_direct,df_skewt_direct,nc_skewt_direct,loc_skewt_direct,scale_skewt_direct,Actual_YoY,Forecast_median_YoY,q05_YoY,q16_YoY,q84_YoY,q95_YoY,BaseEffect_YoY_expost,CRPS_YoY_timesafe_parametric,CRPS_YoY_timesafe_empirical,SHAP_Shap_target_headline_9m_lag2,SHAP_Shap_headline_1m_lag2,SHAP_Shap_core_1m_lag2,SHAP_Shap_sin_cycle_1_lag2,SHAP_Shap_cos_cycle_1_lag2,SHAP_Shap_sin_cycle_2_lag2,SHAP_Shap_cos_cycle_2_lag2,SHAP_Shap_Factor_1_lag2,SHAP_Shap_Factor_2_lag2,SHAP_Shap_Factor_3_lag2,SHAP_Shap_Factor_4_lag2,SHAP_Shap_Factor_5_lag2,SHAP_Shap_target_headline_9m_lag3,SHAP_Shap_headline_1m_lag3,SHAP_Shap_core_1m_lag3,SHAP_Shap_sin_cycle_1_lag3,SHAP_Shap_cos_cycle_1_lag3,SHAP_Shap_sin_cycle_2_lag3,SHAP_Shap_cos_cycle_2_lag3,SHAP_Shap_Factor_1_lag3,SHAP_Shap_Factor_2_lag3,SHAP_Shap_Factor_3_lag3,SHAP_Shap_Factor_4_lag3,SHAP_Shap_Factor_5_lag3,SHAP_Shap_Constant
2016-09-01,2017-06-01,0.9086873146795682,0.20086642106107805,0.4468755176628576,0.4541105696067657,0.501010417442878,0.6863892584837228,99.99999999999999,-3.4377702869468223,4.831892097749057,1.3302833859563452,0.197006545721301,-0.3338591244925666,-2.0582515155947836,-1.3596515869815975,0.7252928979880056,1.3250021647100811,-0.4845089402883751,0.3208959061284664,0.3268790484161822,-0.006436875527887807,-0.00015529031422081266,-1.1420207982346615e-05,-0.0010883944255055508,0.000611080589714447,0.00026938506031092707,0.0007280491679420073,-0.008788852423927783,-0.00860471174921786,-0.002400329811551042,-4.062407966546698e-05,-0.0001208570684355832,-0.02859688212797964,0.00015525478722538483,0.00013161945593517457,-0.0006779743257129889,0.0006126894355491497,0.0006714862695453341,-0.00017204135592831094,-0.003235807051623142,-0.00316436187365698,-0.0007231307505865224,2.484203314913937e-05,-0.00014821852329681642,0.29987898091807685
2016-12-01,2017-09-01,1.1674809565537458,0.503103680595365,0.4447181548616705,0.4505576150778952,0.4413971648098785,0.6916533995680048,88.54860571471002,-3.7573136350878658,5.359377612845487,1.289264729967427,0.6499245207629123,0.15164156379412666,-1.610926842786439,-0.8548671746427201,1.117685612684075,1.7495520682014138,-0.2256861966523971,0.2556006266703113,0.2577069696879667,0.045271267337384895,6.984523412492316e-05,7.742041157328926e-05,0.0015405588233816496,0.0004778700815219286,-0.0002728914045017761,-0.0007243287649013914,-0.005459668252692428,-0.0054788286641245815,-0.0035103639455390675,6.047600362890544e-05,-0.0003831761929464916,0.03796587415359104,-3.0053839540571287e-05,-0.00016240427138653133,0.00014712213741945783,0.0005880192585206225,-0.0006665237061437108,0.00010199615244715949,-0.0029859095102561252,-0.0032603287608112424,-0.0014696079457091548,-6.859123216649521e-05,0.00027471902886327406,0.30043621443245583
2017-03-01,2017-12-01,0.2305294122940893,0.33966560404720547,0.3262351199343845,0.32200608295531014,0.011910708350372943,0.4600573240486714,36.21452468818837,-0.3155659314338307,0.7979086843834509,1.3545820369385002,0.8352077270444624,0.9170598708592995,-0.812095670924245,-0.07080080054864538,2.0084149337092305,2.632736043309903,0.6623106678238955,0.3743178924260231,0.3869176335147151,0.0264215771878504,0.00022390957570898445,8.863992359398383e-05,0.0012239876276202571,-0.00046261499680859614,0.00034012182417525667,0.0007773779644769508,-0.005698922014478331,-0.007537611593792196,-0.003245890783860595,6.113325435073768e-06,-0.00026482700014907203,0.02048686872924357,1.3856530696469065e-05,1.8244514512371832e-05,0.00044038445551336546,-0.00044592033467436996,0.000559847770382126,-6.075240524510414e-05,-0.002592351304815357,-0.002857542480130173,-0.0012957414257123772,3.27030002864077e-05,-0.00016716231461706566,0.29686370624989666
2017-06-01,2018-03-01,0.7298074403828754,0.2937560984144254,0.3631333129020586,0.377423503833823,0.1901407728324861,0.6182862523981552,99.99999999999999,-1.464519841947525,2.285303912708364,1.3346917033691108,0.7922465951253344,0.46520808864899676,-1.2385347511106832,-0.5247214100863775,1.5364538305716668,2.0799548857293297,0.24489101483817777,0.2834876401814392,0.2943546410257005,0.021792748229187215,-0.0004695561870672048,-0.0003638615341212079,-0.002031498955367211,-0.0005206821322447941,-0.00038713181656488914,-0.00078222771914486,-0.008205768563956542,-0.006856579371862406,-0.0024203697300567563,0.00010558636893812621,-0.00018708243748724387,0.06460968624575743,2.389304482098769e-06,-0.00014496376322944917,-0.00023033791096221796,-0.0010453108014813375,-0.0007315198425767094,0.0001524198073830695,-0.0028738355963240396,-0.003261824480125352,-0.0014815445067542518,1.0688450506184818e-05,-1.4314708925044213e-05,0.29602250281322107
2017-09-01,2018-06-01,1.5622111245573225,0.32425254423809424,0.7480037731609984,0.7467056204780664,1.5325414465859988,0.8232389075796664,99.99999999999999,-0.8919918342143283,1.5139981475929107,1.3437360648796992,1.1400673781712278,0.21159844293180685,-1.4644361435083522,-0.8264359626593791,1.2017548777040121,1.8487683578132357,-0.03159096524676386,0.7615322120436664,0.7634995584284908,0.0012606310321244924,-0.00018170508785911592,-0.00011686193607494936,-0.0006671947999191478,0.001098692336832808,0.00043694833599141274,0.0009104669917421251,-0.00552415490250308,-0.008621320987936942,-0.0023656351887218203,-2.745292400313147e-05,-0.0001157156397708429,-0.010922233445242575,6.163516470334275e-05,0.00020942322505544694,-0.000516338624982398,0.00040149232944634313,0.000724207392799765,-1.324242287192318e-05,-0.0027858804756341685,-0.0029633842916933907,-0.0007604356584735646,-1.1664689846466806e-05,-8.535536674179657e-05,0.3040960139331087
2017-12-01,2018-09-01,1.3666841389459468,0.4554367988767096,0.5424281972233129,0.5546032100105649,0.8303717147832599,0.7510280937185698,50.08320028149619,0.6365981421172777,-0.3646283246775163,1.3048251854773276,0.9846101138386132,0.3011746087866853,-1.3387334742803914,-0.6405953979547943,1.3349129028860056,1.9716215838369417,-0.040402990370846936,0.3593871622127527,0.3685751161170303,0.07665445988046213,-3.536044794402871e-05,2.1545741735719877e-06,0.001768713058669318,0.0003411088225178375,-0.0002547701521581398,-0.0008365634760904008,-0.003732670387620515,-0.006528520738863034,-0.0022285455562307756,0.0002653886015488934,3.6166223103159223e-05,0.07340078754620051,-0.00010741441702485733,-0.00016016993964870283,0.0003679629912721105,0.0009999032597536005,-0.0005686001300586694,3.485133556768153e-05,-0.001929731307893779,-0.0022294257251750252,-0.0007205059150933608,-1.9242985257302837e-05,7.63343576718728e-05,0.3191335232852185
2018-03-01,2018-12-01,0.0930153095601108,0.4183967873740033,0.33569649051491285,0.34861212658443935,0.10587310610435265,0.4092723430617287,99.99999999999999,1.6469868126496834,-1.7589034788478008,1.30419053687069,0.6891110180748505,0.9331471264352699,-0.6615430022370046,-0.062187638171033205,1.891410472003741,2.543391121566525,0.6193495359047674,0.339743202682386,0.3385830036119427,0.05091576641930797,4.6260813155506865e-05,2.81064283139962e-05,0.001180093594318612,-0.001029461707945335,1.8418003430391627e-05,0.0007302249955016401,-0.004171760152515731,-0.0058845632616508665,-0.0031163291366962495,-3.3629082897276715e-06,0.0002940601157746938,0.061141027116916,2.6988148926341697e-05,2.66586639564214e-05,0.0004956182200767958,-0.00035293287613745645,0.0005790020193403053,-0.00014191370002201463,-0.0020735023763499036,-0.0032434376019155877,-0.001441784620097778,-1.609311583977042e-05,0.00026948234357945724,0.3139302844677457
2018-06-01,2019-03-01,0.1782883532882806,0.37555156315526206,0.32121756831836545,0.3242008255764646,0.03891277396702477,0.4501228958024105,99.99999999997765,2.774996211055063,-3.292493812123589,1.3076745527480518,0.7264280628502817,0.8743754702505178,-0.77940580731033,-0.17429516287871546,1.8565027263270655,2.4720675069071802,0.5927117978840712,0.26107995143657664,0.2615988033225172,0.04080986929389516,-0.0004158368369493929,-0.00037601963305806263,-0.002246076411870177,-0.0004718426535227033,-0.0004673555947924693,-0.00095504327857428,-0.0028628904326036485,-0.006807151622587431,-0.0015547546081336452,2.405059132624024e-05,-0.0006467151822176605,0.09575161983209476,-6.17618123871554e-05,-0.00012094606969998747,-0.0004829284928950629,-0.0006935630008499401,-0.0006705136532899805,1.1347740270209828e-05,-0.0012803594911679973,-0.003241076149066854,-0.0010765037460975138,5.540229934694662e-06,1.3010511458445502e-05,0.3190825045657266
2018-09-01,2019-06-01,1.047335949584512,0.3117801642692001,0.4715791023756033,0.46965093963701204,0.5410423133108253,0.712963318570659,42.68445737801502,0.5197516325064673,-0.37846961935675016,1.3055618931796829,0.5984537326090056,0.04678689362252153,-1.611093360528407,-0.9476483232747052,0.9878276382625365,1.7082557691911378,-0.1870482295793785,0.37274970951156167,0.37119613405781143,-0.023295099057360154,-0.0002682443977365165,-7.746066255076575e-05,-0.0011987125612793544,0.0012911136650599322,0.00029784312184544633,0.0007677011698754348,-0.0019224487377158981,-0.006396805883533454,-0.0031674919144539394,5.4458423996039326e-06,-2.9294770481424617e-05,-0.028825056949719464,0.00014743054184799306,0.00011511793498664476,-0.0004087053828363786,0.00042698887272857154,0.0007001569574419654,-0.00016377556534897877,-0.0010510357504601607,-0.0025316462364236977,-0.0005326504398285895,2.1093841173928743e-05,-0.0003703132013835122,0.33730842288547336
2018-12-01,2019-09-01,0.6454740239760781,0.4479837181153351,0.3073955999983477,0.3144643466877145,0.039002420908969826,0.5640960146192278,18.86394683731281,0.38656032587900724,-0.03682715035783351,1.2273627641890006,0.148203431847449,8.570245189176706e-05,-1.5553469380126876,-0.8735819898143948,0.9625089982557576,1.6206607193643876,-0.3359020861346096,0.275964040725465,0.27504988404556424,0.05516830231020476,2.159964410962529e-05,-1.3751032772118831e-05,0.002450607785353953,0.000508521664614588,-0.0003181364879812591,-0.0009252071813147032,-0.001042832569422004,-0.0023975323374639504,-0.0036475989354147987,6.0672630176265904e-05,-0.0008074275899206504,0.0414743308399662,-0.00010901407368175751,-0.00014326656733437126,0.0002530393260321049,0.001046667156058979,-0.0006861623418614802,0.00015210673786064804,-0.0002755627691585739,-0.001402151213281677,-0.0018232372988607956,0.00022546646483756106,-9.079222174041391e-05,0.35551341495075767
2019-03-01,2019-12-01,-0.6680287873306174,0.46568090352303304,0.6739577416189468,0.6853138275039513,1.2852976631354796,0.18139506029563957,12.461600515369774,-0.0476567465425542,0.5147851050466477,1.188715029054337,0.1556449901822354,1.0059272583224734,-0.6261527262959194,0.0854918762473041,1.9228699182382634,2.6158692429735364,0.6566665806801986,0.21866910700622733,0.21872760721490644,0.021034593056599517,0.0001849516470314582,0.0001780311524738659,0.0014084090118544875,-0.0007106136426759316,0.0003103705669881376,0.0008474903663849283,-6.339416692266869e-05,-0.003082318706570018,-0.0030198895817117486,0.00016492956428422657,-0.0011751518573290705,0.00698665731107547,4.110334273618688e-05,5.050693949330099e-05,0.000994768322239512,-0.00047081429124856623,0.0006752607884992095,-0.00010902050489420634,2.227175980852382e-06,-0.000991728786607815,-0.0013000350762918287,4.4057711559465004e-05,-0.0003453954207671557,0.35085225489911903
2019-06-01,2020-03-01,-1.3083110653550278,0.47382484454026264,1.130495812232195,1.1410560613656184,3.176008401338315,0.09106498661639836,99.9999999999997,-1.308621066485486,2.156713653517432,1.2962932312030884,-0.5164958313734758,0.8201061010479921,-0.8553531716717918,-0.1850011390671708,1.7870986077288586,2.4662317230211483,0.4647374676427951,0.6353905876618271,0.6454692877908096,1.1975438401311821e-05,-0.000278523303853499,-0.00037648995392051894,-0.0025263217361600697,-0.0006010249057523519,-0.00042932058452366007,-0.0008446989831213308,-0.00252591812110297,-0.0014980014546816015,-0.003959256991426714,0.0001594110417158817,-0.00041637421410804906,0.04109547409199497,-8.434090009922779e-05,-0.00024243619443675918,-0.0004404795403072386,-0.0008714021319285539,-0.0005313211792207956,0.00016390440002811454,-0.0006618879179312864,-0.0005305485109433363,-0.0013505493805706602,5.279932164575238e-05,2.7355419364949252e-05,0.3487874882311686
2019-09-01,2020-06-01,-0.8608860703063215,0.1848719645036293,0.6251365420136421,0.634312035974628,1.09360986736957,0.20973115390867078,99.99999999999922,1.181533294741073,-1.3461479418790947,1.2946116212808232,-1.2829630830706762,-0.4986445569632131,-2.103084318327045,-1.4711195796516756,0.4549433437671126,1.1209791829186944,-0.6372985303409351,0.5425393014688573,0.5504352467331396,-0.06779266932962803,-0.00034817029980423317,-0.0001412924462666314,-0.0011852641588968942,0.000856938742712767,0.0003291688907794719,0.0007156718920973755,-0.002495431145963932,-0.002659815544690295,-0.00552210260631818,0.00021480604091547902,-9.046088069020903e-06,-0.07026315329187516,7.208892117522274e-05,6.671200041277726e-05,-0.0003990435039451089,0.000537092258127315,0.0005675160351849413,-0.00013648273230543087,-0.0009408276013014077,-0.0018735733398088433,-0.0018061010276702466,5.898046242756301e-05,0.0001013424793731835,0.3552396836655801
2019-12-01,2020-09-01,-0.6328525919518786,0.21903084887010188,0.5069539770217683,0.5109567281710453,0.7257053967466967,0.24831254043819354,99.9999999997902,-2.583480271248994,3.3187224520756318,1.2012018292012276,-0.8030999717637322,-0.16418739114724676,-1.7409277749824865,-1.0842550449065191,0.7198675702266689,1.3087401150187132,-0.32846052779982315,0.43577832065922173,0.43967811088036546,-0.05019423060869736,1.3708308355934045e-05,1.365955944919881e-05,0.0021891093556196013,0.0006965570534030912,-0.000402587818471715,-0.0007948326465313816,-0.0013473457743134899,-0.0031193964869996606,-0.004305094016197767,9.584634233347503e-05,-0.0010595141429874042,-0.06711373932156212,-0.000330400254730052,-9.26936965989559e-05,0.0004995321766920912,0.0012369925518768907,-0.0005690119884478257,9.75576826640041e-05,-0.0006085540118930637,-0.0013584325662190193,-0.0019037166631063463,-4.376955178601917e-06,-8.27309357365009e-05,0.35650300625392706
2020-03-01,2020-12-01,-1.0689039438407375,0.23254841045410132,0.7798438099214401,0.7895371335024711,1.6937782304995788,0.15792448715813723,37.66099155887734,-0.20333858898461082,0.4835160001791222,1.2679779414703478,-0.8171521987560659,0.15893706696506335,-1.4712740880184805,-0.8357564481077089,1.1096055733290635,1.7442742849330592,-0.015474240875512635,0.4582352906045644,0.46743597783823065,-0.02719135983788969,0.0001343025578312612,-1.9007104152062594e-05,0.0012661354533996594,-0.0013679807234016706,0.0002957159408627914,0.0009483796102998382,-0.0017197991536731065,-0.0017700318160240398,-0.00557949885979861,3.669993957046084e-05,0.0002803981296684435,-0.04696330159292978,-7.468254289139952e-05,-5.917055204069851e-05,0.00040330080573256855,-0.0003710007603208166,0.0006752598801448236,-7.981534354784156e-05,-0.00031713230954256,-0.0010244127061905795,-0.0019311462860353045,0.00015295683987649877,-0.0004088606156074796,0.33624774265130924
2020-06-01,2021-03-01,0.0749365835745881,0.2289008831898604,0.3018828511086176,0.3005442732296271,0.023705005556021338,0.4545217991729349,99.99999999999999,4.696243712665593,-5.401146223129695,1.1935749683118806,-0.2455273463734641,-0.13005412166201002,-1.6836564037192099,-1.0653561558354718,0.8290213518479801,1.525434898354237,-0.3017297840544053,0.22236632081722546,0.22118185614794816,-0.03917727350432095,-0.00016567492817596004,-0.00037068063833196576,-0.0031722181466852122,-0.0002630927207192069,-2.9145817843946252e-05,-0.0008077971411950948,-0.001840672158425602,-0.0031572317657030447,-0.005674905644106788,-2.312596114083303e-05,-0.0006071745515053898,-0.020152347555690366,-2.9209993859761603e-05,-9.26570892867554e-05,-0.0004417738199667669,-0.0008820368778450354,-0.0007245318664719719,8.934306152755395e-05,-0.000633971643308372,-0.0011124403526425243,-0.0029965473803931037,-1.799403535168117e-05,-3.566837860929613e-05,0.311895930730739
2020-09-01,2021-06-01,1.0134482933989848,0.21781071061625867,0.4834882388831224,0.49246998650536167,0.6330391631363393,0.7355013834455473,99.99999999998448,3.088086766522111,-3.5219037483417632,1.2098151817403928,0.6026508010152476,0.005922613928202952,-1.452161145384966,-0.928992866079956,0.9756013098915951,1.5809957854194228,-0.15743541903399105,0.3631799205767961,0.36989608261933743,-0.015970343295159714,-4.2012150842013254e-05,-7.805943052363759e-05,-0.0012979730508964396,0.0011122969898744648,0.00033718784045650005,0.0007014542285997094,-0.0033089031614145867,0.002888106215026095,-0.006887652797033495,0.00015284130530144566,-0.0006100600976558274,-0.030531089054828875,-0.00011319871334466987,-0.0001252799530571796,-0.0007586838024319882,0.0006473235467125703,0.0007271320789073035,-8.356251625491891e-05,-0.0008722501089870827,-0.0001141380240414691,-0.0035345371835408266,3.206755767772959e-05,-2.4026045142565816e-05,0.2979218737866752
