,Folder,File,Mean_Parametric_CRPS_direct,Mean_Parametric_CRPS_YOY,Mean_LogS_direct,ViolationRate_90_YoY,UpperViolationRate_95_YoY,PIT_Mean,PIT_Std
28,Data_experiments_bvar,bvar_natural_niw_hierarchical_Headline_12m.csv,0.6963975267157029,0.6963975267157029,-1.7261328079574718,0.14893617021276595,0.10638297872340426,0.5196832914476393,0.3179468171024794
29,Data_experiments_bvar,bvar_natural_niw_hierarchical_Headline_3m.csv,1.2080323772319597,0.39291777511715426,-2.2437281357310583,0.16,0.16,0.5016841128651491,0.24007080935395259
30,Data_experiments_bvar,bvar_natural_niw_hierarchical_Headline_6m.csv,0.9204107868242166,0.48945993041166036,-1.9555209008690657,0.10204081632653061,0.10204081632653061,0.48879724187489043,0.30866600048348347
31,Data_experiments_bvar,bvar_natural_niw_hierarchical_Headline_9m.csv,0.7538786885403054,0.6154351517652722,-1.7454173746327992,0.125,0.10416666666666667,0.5068601369656985,0.28634670016740926
32,Data_experiments_qrf,QRF_Default_Core_12m.csv,0.5370783594672596,0.5370783594672596,-inf,0.2978723404255319,0.2978723404255319,0.7116529325211595,0.2845875162607811
33,Data_experiments_qrf,QRF_Default_Core_3m.csv,0.8641960556042083,0.31548091043584675,-1.939250855560298,0.18,0.18,0.5364210753941812,0.23353651346587317
34,Data_experiments_qrf,QRF_Default_Core_6m.csv,0.597188567456689,0.4072362800467382,-1.7622641103616912,0.30612244897959184,0.2857142857142857,0.6104945673413716,0.2981444112441892
35,Data_experiments_qrf,QRF_Default_Core_9m.csv,0.529206166134217,0.49604072397036214,-1.424097923766781,0.16666666666666666,0.16666666666666666,0.619206255422181,0.25888200928344257
36,Data_experiments_qrf,QRF_Default_Headline_12m.csv,0.7761976825865259,0.7761976825865259,-2.1592855296594053,0.3191489361702128,0.23404255319148937,0.609367791189788,0.3412959187233641
37,Data_experiments_qrf,QRF_Default_Headline_3m.csv,1.1482216359233908,0.39420866571685087,-2.139636481284999,0.16,0.12,0.529353436001898,0.25796678816128094
38,Data_experiments_qrf,QRF_Default_Headline_6m.csv,0.8811277866715543,0.5050648403603365,-2.059627900017142,0.20408163265306123,0.16326530612244897,0.5359704696568464,0.312526594080826
39,Data_experiments_qrf,QRF_Default_Headline_9m.csv,0.7937151258682354,0.6896549336101391,-1.9871845222568594,0.20833333333333334,0.16666666666666666,0.5605836701610444,0.3061250474585624
40,Data_experiments_qrf,QRF_Default_Lin_Feat_Core_12m.csv,0.5653290589734347,0.5653290589734347,-inf,0.5957446808510638,0.5319148936170213,0.7289708926839533,0.35543789688748345
41,Data_experiments_qrf,QRF_Default_Lin_Feat_Core_3m.csv,0.7563698407725322,0.31950085753934127,-1.7032301374462853,0.26,0.26,0.5499662293857371,0.28630000574087905
42,Data_experiments_qrf,QRF_Default_Lin_Feat_Core_6m.csv,0.5592477095178882,0.3923816001417967,-2.0734306888095126,0.3469387755102041,0.32653061224489793,0.6064432635466747,0.31308032774844674
43,Data_experiments_qrf,QRF_Default_Lin_Feat_Core_9m.csv,0.523030264656231,0.4991947468950129,-3.0883327554920452,0.3333333333333333,0.3125,0.652511548517033,0.2911337821853609
44,Data_experiments_qrf,QRF_Default_Lin_Feat_Headline_12m.csv,0.8076850505841798,0.8076850505841798,-3.048444231902758,0.40425531914893614,0.2553191489361702,0.6038146922938454,0.3644844341227974
45,Data_experiments_qrf,QRF_Default_Lin_Feat_Headline_3m.csv,1.0679629079004618,0.396655006231721,-2.0879201783943167,0.28,0.22,0.5267197390583921,0.2991677787717193
46,Data_experiments_qrf,QRF_Default_Lin_Feat_Headline_6m.csv,0.8673420733523238,0.5308191760139673,-2.2281737454546766,0.3469387755102041,0.2653061224489796,0.5460579465278619,0.3286445034651578
47,Data_experiments_qrf,QRF_Default_Lin_Feat_Headline_9m.csv,0.8613288319566657,0.7503003903040546,-2.5159167868745276,0.3958333333333333,0.2708333333333333,0.6036501235649756,0.3468389909852914
48,Data_experiments_qrf,QRF_Default_PCA_Core_12m.csv,0.3935803324952399,0.3935803324952399,-1.210735305090915,0.14893617021276595,0.14893617021276595,0.587650417408195,0.2904467937928315
49,Data_experiments_qrf,QRF_Default_PCA_Core_3m.csv,0.8336624937969251,0.3055045576643705,-1.9283083774757523,0.14,0.14,0.5085297276383514,0.2187450382167557
50,Data_experiments_qrf,QRF_Default_PCA_Core_6m.csv,0.511139858218103,0.3519939773242524,-1.441968043993376,0.2857142857142857,0.2653061224489796,0.5498957510121742,0.29782699296897513
51,Data_experiments_qrf,QRF_Default_PCA_Core_9m.csv,0.44330738112343376,0.3970957780279896,-1.2380769379193286,0.10416666666666667,0.10416666666666667,0.5485040739189332,0.24352433304760088
52,Data_experiments_qrf,QRF_Default_PCA_Headline_12m.csv,0.6484950633653289,0.6484950633653289,-2.0608220475441,0.1702127659574468,0.10638297872340426,0.5321918124615334,0.32585534840990726
53,Data_experiments_qrf,QRF_Default_PCA_Headline_3m.csv,1.079492570538693,0.37292722482984614,-2.102265877139254,0.12,0.1,0.497321949222087,0.24524301408947427
54,Data_experiments_qrf,QRF_Default_PCA_Headline_6m.csv,0.7688279114958685,0.4524158508198977,-1.8206643851394666,0.14285714285714285,0.10204081632653061,0.5189560529855499,0.291396771092138
55,Data_experiments_qrf,QRF_Default_PCA_Headline_9m.csv,0.6833526942908795,0.5896717454616456,-1.6424888071449393,0.14583333333333334,0.125,0.5182425164252392,0.2864960311772065
