,Folder,File,Mean_Empirical_CRPS,Mean_Parametric_CRPS,PIT_Mean,PIT_Std
38,Data_experiments_qrf2,QRF_Default_Headline_6m.csv,0.5126246754611218,0.5075423190892888,0.6030306576260279,0.3143583436247644
39,Data_experiments_qrf2,QRF_Default_Headline_9m.csv,0.6639372993401745,0.6539560372192071,0.6105636341554233,0.30600996451814044
40,Data_experiments_qrf2,QRF_Default_Lin_Feat_Core_12m.csv,0.5440108652162943,0.5351087096018947,0.7067087699841067,0.29107021045954656
41,Data_experiments_qrf2,QRF_Default_Lin_Feat_Core_3m.csv,0.3100618622908278,0.30059220872169345,0.6633483327379767,0.24372584538547876
42,Data_experiments_qrf2,QRF_Default_Lin_Feat_Core_6m.csv,0.4091420646799404,0.4046887918837571,0.6943514280171538,0.30075870250049846
43,Data_experiments_qrf2,QRF_Default_Lin_Feat_Core_9m.csv,0.49978013337550253,0.4892614792613381,0.720093365975734,0.2305556900372341
44,Data_experiments_qrf2,QRF_Default_Lin_Feat_Headline_12m.csv,0.7811968162684986,0.7626399978243342,0.5996179002160745,0.3402745830682543
45,Data_experiments_qrf2,QRF_Default_Lin_Feat_Headline_3m.csv,0.39230138016752064,0.38511006949181387,0.6131348352065192,0.27828174976621617
46,Data_experiments_qrf2,QRF_Default_Lin_Feat_Headline_6m.csv,0.5072582846093616,0.5019501228776827,0.6017052596723083,0.3156018898455006
47,Data_experiments_qrf2,QRF_Default_Lin_Feat_Headline_9m.csv,0.6675744579794203,0.6578475215799204,0.6138015777613098,0.30724752934893124
48,Data_experiments_qrf2,QRF_Default_PCA_Core_12m.csv,0.42353393825233526,0.41232617311472564,0.6359263456746477,0.27041808872446227
49,Data_experiments_qrf2,QRF_Default_PCA_Core_3m.csv,0.3205158489348889,0.3104294027507128,0.6496342247514252,0.2488022404644244
50,Data_experiments_qrf2,QRF_Default_PCA_Core_6m.csv,0.3590451325109243,0.356139781061557,0.6727823089125347,0.3005644090788899
51,Data_experiments_qrf2,QRF_Default_PCA_Core_9m.csv,0.40894589663306485,0.39433275078571395,0.6559062012560481,0.2187630952710216
52,Data_experiments_qrf2,QRF_Default_PCA_Headline_12m.csv,0.6620933342173815,0.6469168455279339,0.5755096335104325,0.32386615558046244
53,Data_experiments_qrf2,QRF_Default_PCA_Headline_3m.csv,0.3765694480064438,0.3700186644267419,0.5928931290146329,0.279352563918235
54,Data_experiments_qrf2,QRF_Default_PCA_Headline_6m.csv,0.44634139082933,0.43951947622787574,0.5986879992589522,0.2927786994700436
55,Data_experiments_qrf2,QRF_Default_PCA_Headline_9m.csv,0.5706476364215457,0.5603434780177498,0.5890137357445273,0.2709665521450544
