Date,Target_date,Actual,Forecast_median,q05,q16,q84,q95,Squared_Error,Empirical_CRPS,Parametric_CRPS,Dist_Param_1,Dist_Param_2,Dist_Param_3,Dist_Param_4,PIT
2015-11-01,2016-11-01,-0.3096467326607843,-0.0686985256836081,-0.9613875482682666,-0.6049125622189067,0.1279552391188154,0.3718564600575291,0.05805603844551614,0.07315135464725331,0.13330748386309063,,0.3989081974967242,-0.1775206008899815,0.369771768294434,0.31227191338005406
2015-12-01,2016-12-01,-0.3244976139693989,-0.0744734730173668,-0.9613875482682666,-0.6613065813612096,0.1279552391188154,0.3718564600575291,0.06251207105880163,0.07422459062334409,0.13583809229915983,,0.3989081974967242,-0.1930188585764414,0.39884241963299594,0.3262114758103032
2016-01-01,2017-01-01,-0.2193919160335511,-0.2309070414847625,-0.8846061718801757,-0.6049125622189067,0.08931003558540201,0.3687256599819832,0.0001325981141571363,0.0395044303546695,0.08331073097183195,,0.3989081974967242,-0.23229113837349,0.3350412790343453,0.485524312017768
2016-02-01,2017-02-01,-0.0934193881882983,-0.078091993123941,-0.8846061718801757,-0.4835425102155177,0.1119886890700527,0.3718564600575291,0.00023492903945888466,0.03523279750137098,0.07770429133754046,,0.3989081974967242,-0.15336642283016858,0.33231921461984626,0.521762920280533
2016-03-01,2017-03-01,0.1182657315096591,-0.1371437538706388,-0.8846061718801757,-0.5559402157513382,0.07593153301576538,0.3677923900544222,0.06523400522222861,0.09016777329731791,0.17795666994470563,,0.3989081974967242,-0.1985896339067405,0.32289057771242385,0.8401652990583264
2016-04-01,2017-04-01,0.1239956835564548,-0.0744734730173668,-0.6894260284991738,-0.4199484307613907,0.1182657315096591,0.2551637534921269,0.03939000611112411,0.06614367629877649,0.13166051560879063,,0.3989081974967242,-0.12207975725023804,0.2834142962472228,0.8159693320856052
2016-05-01,2017-05-01,0.2363944157873554,-0.0934193881882983,-0.8846061718801757,-0.4835425102155177,0.0754518504213486,0.14851545316210726,0.10877714529289091,0.1331846268283033,0.2543043876713871,,0.3989081974967242,-0.17660179107968046,0.28422041278402393,0.947380586512412
2016-06-01,2017-06-01,0.211977293329113,-0.0744734730173668,-0.6627125537181077,-0.3964147258455347,0.1182657315096591,0.2630789213340812,0.08205404154048557,0.1012302032629491,0.19395252182842343,,0.3989081974967242,-0.11802906598242234,0.28232894242648654,0.8954314879401676
2016-07-01,2017-07-01,0.3411499143932239,-0.0345979297843968,-0.5778352013889031,-0.3096467326607843,0.1328721049976167,0.2551637534921269,0.14118644240412953,0.13814600862343268,0.26457552197963474,,0.3989081974967242,-0.06805636352085573,0.2622548823036879,0.9554889355602181
2016-08-01,2017-08-01,0.3939075833012673,-0.0620317227106426,-0.6627125537181077,-0.3244976139693989,0.1239956835564548,0.2551637534921269,0.20788065076662202,0.1765668002237079,0.33957456789717444,,0.3989081974967242,-0.10244662437868157,0.2756104702951479,0.9743810745739643
