Date,Core_CPI,Headline_CPI,kofbarometer,unemployment_rate,oilprices,gdp_index_ch,gdp_index_eu,infl_e_current_year,infl_e_next_year,Saron_Rate,CH_2int,fin_spread,EU_fin_spread,Wage_change,PPI,real_turnover,retail_turnover,Exchange_Rate_CHF,variable_mortgages,Vol_loans,M1_change,M2_change,M3_change,Manufacturing_EU,Business_Confidence_EU
2003-11-01,97.1227,95.5322,109.829252275439,3.967531697588136,38.29386,131186.699444111,2539145.0,0.725,0.925,0.117566,1.0095,2.818234,2.278836900000001,1.4,104.9565,64.40763554424927,71.1,101.9303,3.19,621746.0,24.16475858,18.5223065,8.57862618,104.2,-4.9
2003-12-01,97.1403,95.5507,108.482232696487,4.12555092642795,37.68395,131186.699444111,2539145.0,0.636842105263158,0.863157894736842,0.126631,0.9776086956521739,2.6773255217391303,2.2097047826087,1.4,104.9956,64.38365036249138,73.7,103.6409,3.19,617376.0,20.85846694,15.10686177,7.47072671,104.5,-6.1
2004-01-01,96.6248,95.2266,108.648194981241,4.260539935768743,38.76132,131818.525254137,2555856.6,0.636842105263158,0.863157894736842,0.098549,0.8439545454545455,2.683860090909091,2.16720331818182,0.7,105.0323,66.17012100087307,75.1,103.2517,3.19,624852.0,24.06173463,16.61216213,7.9910395,106.1,-5.5
2004-02-01,96.7228,95.2425,108.236688588714,4.205206603111031,38.41299,131818.525254137,2555856.6,0.636842105263158,0.863157894736842,0.100093,0.74125,2.604907,2.1126801499999996,0.7,105.0008,66.18997188592849,73.6,102.5145,3.19,624869.0,23.6168364,16.14975377,7.0635934,107.0,-5.4
2004-03-01,96.7709,95.4465,108.941557378476,4.075234077225469,42.97724,131818.525254137,2555856.6,0.45,1.17222222222222,0.110365,0.6962608695652174,2.4904610869565222,1.9906105652173909,0.7,105.4865,65.88520805979911,73.2,101.9278,3.19,625573.0,11.37353896,8.48807606,4.83761026,107.4,-5.3
2004-04-01,97.6627,96.2516,109.97511442045,3.92859061137252,43.56329,132750.484938251,2572591.0,0.45,1.17222222222222,0.108065,1.0056818181818181,2.6435259090909096,2.1936263181818196,0.7,106.0879,66.83137285213489,73.5,101.7764,3.19,626308.0,8.9637926,6.98173761,3.62937151,108.3,-3.6
2004-05-01,97.7282,96.4741,108.746124000296,3.7703686963324947,48.23325,132750.484938251,2572591.0,0.45,1.17222222222222,0.112946,1.1805238095238095,2.7336730476190474,2.3003070952381006,0.7,106.5698,66.52916679959989,73.8,103.3415,3.19,626033.0,9.13645536,6.67134861,4.08166962,108.1,-2.8
2004-06-01,97.7124,96.6405,105.321390251231,3.650961188632953,43.98898,132750.484938251,2572591.0,0.523529411764706,1.12941176470588,0.360676,1.4392272727272728,2.636051272727273,2.32990136363636,0.7,106.2694,66.7172299834195,73.7,104.888,3.19,629402.0,6.57389864,4.98185965,3.72300265,108.4,-2.7
2004-07-01,96.8601,95.6291,105.331188486499,3.6261828006571086,47.59233,132414.356113233,2579932.4,0.523529411764706,1.12941176470588,0.1953,1.3991363636363636,2.760154545454545,2.2235704999999997,0.8,106.165,63.76866198841425,72.7,104.1482,3.19,628524.0,3.68683939,3.22181967,3.04968886,108.4,-2.8
2004-08-01,97.072,95.9835,102.422395369364,3.6970722991810465,53.95548,132414.356113233,2579932.4,0.523529411764706,1.12941176470588,0.173508,1.208409090909091,2.6542192727272726,2.05358581818182,0.8,106.4749,63.583060420812785,72.7,103.4023,3.19,629832.0,1.12044318,1.64094315,2.93531908,109.1,-3.0
