Date,Core_CPI,Headline_CPI,kofbarometer,unemployment_rate,oilprices,real_gdp_growth,gdp_EU_growth,infl_e_current_year,infl_e_next_year,Saron_Rate,CH_2int,fin_spread,EU_fin_spread,Wage_change,PPI,real_turnover,retail_turnover,Exchange_Rate_CHF,variable_mortgages,Vol_loans,M1_change,M2_change,M3_change,Manufacturing_EU,Business_Confidence_EU
2005-08-01,0.2,1,105.141413272778,3.6067755969868673,80.80752,0.0112521513540165,0.007829988865759363,0.726315789473684,1.34210526315789,0.677405,1.0521739130434782,1.3217689130434782,1.1830436086956504,1.1,107.4867,65.9616492086928,75.1,100.3043,3.03,659079.0,-0.1090732,0.06290329,5.49871719,112.9,-5.5
2005-09-01,0.2,1.4,106.596147520692,3.616124497971618,79.70856,0.0112521513540165,0.007829988865759363,1.18095238095238,1.21904761904762,0.674366,1.0410454545454544,1.197724909090909,1.01643768181818,1.1,108.2072,65.52244212954406,74.7,100.291,3.03,664111.0,2.96308005,1.83601136,6.02312898,113.8,-4.1
2005-10-01,0.2,1.3,106.757969825048,3.650023764956975,75.39592,0.010545062331996,0.00727830173894306,1.18095238095238,1.21904761904762,0.673334,1.2464285714285714,1.304713619047619,1.1267599523809504,1.0,108.2233,67.17592237531105,75.9,100.1794,3.03,664167.0,3.68904279,2.21259929,5.76171192,113.6,-2.5
2005-11-01,0.1,1,107.212904447475,3.718329014428217,72.42423,0.010545062331996,0.00727830173894306,1.18095238095238,1.21904761904762,0.68404,1.6196363636363635,1.534187272727273,1.1663545454545496,1.0,107.7998,67.43982827426396,75.3,99.7759,3.03,663692.0,4.00596098,2.44542519,5.82396199,113.0,-2.7
2005-12-01,0.2,1,107.03114225535,3.8450585611103962,74.21512,0.010545062331996,0.00727830173894306,1.03888888888889,1.02777777777778,0.609864,1.6340000000000001,1.5011814545454545,0.9360818636363595,1.0,107.9201,67.36465218249427,74.4,99.4772,3.03,664257.0,5.06845894,2.68157693,4.86886021,112.9,-1.5
2006-01-01,0.1,1.3,108.709924646226,3.9068778521748735,80.45262,0.011526397227388,0.010130142940653508,1.03888888888889,1.02777777777778,0.828563,1.5841818181818184,1.215437,0.88100140909091,1.0,108.1743,69.33254941330796,75.9,99.8292,3.03,669225.0,1.65406444,0.83790241,3.14062741,114.3,-0.8
2006-02-01,0.3,1.4,107.659369391671,3.8028744956913982,78.58704,0.011526397227388,0.010130142940653508,1.03888888888889,1.02777777777778,0.895374,1.60315,1.295626,0.9506043499999999,1.0,108.5256,69.10811826886928,75.5,98.7643,3.03,671016.0,1.06473445,0.32256392,3.43894065,114.8,0.8
2006-03-01,0.3,1,107.966504187108,3.629324436760385,80.99562,0.011526397227388,0.010130142940653508,1.17142857142857,1.26666666666667,1.05294,1.757695652173913,1.3395817391304345,1.0085823478260898,1.0,108.6732,69.01425558463356,75.3,98.2202,3.03,677400.0,1.13478321,0.05195987,4.06242322,116.0,1.5
2006-04-01,0.3,1.1,107.913795812182,3.454786282603342,90.14253,0.00736031314934782,0.01216694618225711,1.17142857142857,1.26666666666667,1.187275,1.8058,1.4408750000000001,1.2178373999999996,1.0,109.4918,70.14223896218712,76.7,98.121,3.03,680066.0,3.00810948,0.83003776,4.262045,115.0,3.2
2006-05-01,0.3,1.4,106.678035967541,3.280628165071695,85.05589,0.00736031314934782,0.01216694618225711,1.17142857142857,1.26666666666667,1.11309,2.000739130434783,1.670431739130435,1.1712954347826101,1.0,110.1646,69.71386452635421,76.2,100.1748,3.03,681590.0,1.67767661,-0.19785515,3.18658677,116.8,3.4
2006-06-01,0.5,1.6,108.640842815225,3.1121705969209943,84.46898,0.00736031314934782,0.01216694618225711,1.275,1.28333333333333,1.242492,2.054136363636364,1.4935534545454545,1.0893885909090897,1.0,110.1804,69.70386747552195,77.0,100.0014,3.03,684638.0,-1.21212764,-1.98565648,1.43187298,118.0,4.6
2006-07-01,0.6,1.4,103.747702678998,3.083997215091609,91.17672,0.00721331305107697,0.005812903135344882,1.275,1.28333333333333,1.345125,2.1288095238095237,1.4782083333333333,0.9940879047619102,1.2,110.4085,71.3713165200143,77.5,99.3332,3.03,690473.0,-1.28667191,-2.26685871,1.35866379,118.1,4.8
2006-08-01,0.6,1.5,105.6161133623,3.1181751756022567,90.20366,0.00721331305107697,0.005812903135344882,1.275,1.28333333333333,1.370228,2.115521739130435,1.2932937391304349,0.7416833043478301,1.2,110.861,71.08000108243657,78.5,98.8904,3.03,688344.0,-0.69402481,-2.198229,2.13471406,116.6,4.2
2006-09-01,0.6,0.8,103.602690212369,3.0878229171205995,77.1663,0.00721331305107697,0.005812903135344882,1.30625,1.25,1.682963,2.129952380952381,0.7879893809523808,0.5044482857142896,1.2,110.9112,71.04782925439451,76.8,98.0738,3.03,761320.0,-2.06135928,-3.28583283,1.90028122,118.4,5.9
