Date,Headline,Core,Headline_level,Core_level
2006-08-01,1.4416923543279836,0.5903882540536642,98.3128,97.8512
2006-09-01,0.7907655060116703,0.5918463304566579,98.1023,97.8142
2006-10-01,0.2582709902375413,0.5724069830038481,98.4346,98.5858
2006-11-01,0.49649433843965696,0.5698530545605429,98.392,98.7096
2006-12-01,0.619055639357935,0.6139261107053429,98.405,98.7345
2007-01-01,0.10197834765568459,0.1864152629288185,97.7176,97.8836
2007-02-01,-0.01143831735426204,0.2401537402562326,97.9109,98.0966
2007-03-01,0.17272264033687534,0.21155303372726308,97.9872,98.0933
2007-04-01,0.45290775328554744,0.4218410092065916,99.0963,99.0373
2007-05-01,0.48674517908171566,0.5237836710978883,99.3281,99.1933
2007-06-01,0.6288726174202175,0.5331210650071583,99.4418,99.172
2007-07-01,0.7177819672507191,0.7466048117960256,98.8518,98.5044
2007-08-01,0.43490663264620366,0.6630925518232189,98.7413,98.5022
2007-09-01,0.7444016630963723,0.6869013970431048,98.8353,98.4884
2007-10-01,1.2564661056226,0.7882767825331705,99.6792,99.366
2007-11-01,1.754579439406001,0.8169389056827292,100.1336,99.5193
2007-12-01,1.9842477816882642,0.9378126014108368,100.3771,99.6648
2008-01-01,2.397310848580414,1.1942671566750107,100.0885,99.0596
2008-02-01,2.3370752334963996,1.3253730683686626,100.2261,99.4054
2008-03-01,2.5968421091281613,1.4610367755024,100.5651,99.537
2008-04-01,2.258248506046634,1.3927578293139398,101.3596,100.4263
2008-05-01,2.8154768605752167,1.5500262565971035,102.1644,100.7428
2008-06-01,2.8701671976548937,1.3395539079556151,102.3373,100.5094
2008-07-01,3.0284799903361304,1.4231618276881797,101.8913,99.9163
2008-08-01,2.87951252830565,1.638446653763026,101.6259,100.1294
2008-09-01,2.885168838351415,1.884587120492487,101.7284,100.3621
2008-10-01,2.564858959294547,1.738815096828894,102.2689,101.1089
2008-11-01,1.441815486002529,1.6638460089316354,101.5878,101.189
2008-12-01,0.6985114111487611,1.5550000597198022,101.0807,101.2267
2009-01-01,0.13908006732785694,1.4250946548696852,100.2278,100.4814
2009-02-01,0.23718159787833315,1.3404992979979546,100.4641,100.7469
2009-03-01,-0.42510512261797473,1.1906293561324333,100.1385,100.7292
2009-04-01,-0.3343203979214948,1.212125255889518,101.0213,101.651
2009-05-01,-0.9658451806147994,0.9204816366966462,101.1824,101.6744
2009-06-01,-0.9556221849475577,0.9068353628948422,101.364,101.425
2009-07-01,-1.1847158003524427,0.9448170727976546,100.6913,100.8648
2009-08-01,-0.8132290888069882,0.6741472190689102,100.8028,100.8067
2009-09-01,-0.926836457039304,0.5703988126583681,100.7899,100.9362
2009-10-01,-0.8371791172530507,0.5624605225936108,101.4163,101.6792
2009-11-01,0.023917334718959182,0.5565132004536011,101.6121,101.7537
2009-12-01,0.28224675943970823,0.40037616427666123,101.3664,101.6328
2010-01-01,1.01846408668127,0.5014208797336828,101.2538,100.9865
2010-02-01,0.9284475653895896,0.4544636341404562,101.4012,101.2058
2010-03-01,1.390055142418145,0.36872565998198326,101.5402,101.1013
2010-04-01,1.3633448857839348,0.30224516242798316,102.408,101.9587
2010-05-01,1.1007326913034632,0.18345699139841187,102.3023,101.8611
2010-06-01,0.48508885310551975,0.04524487757819884,101.8569,101.4709
2010-07-01,0.41763355780553013,-0.03688785538953354,101.1127,100.8276
2010-08-01,0.29301452257266547,0.013688629333241664,101.0986,100.8205
2010-09-01,0.2826642049170047,-0.10427860378978693,101.0752,100.831
2010-10-01,0.19376519698628414,-0.16615027425848083,101.613,101.5104
2010-11-01,0.240724629207012,-0.06203172271064261,101.857,101.6906
2010-12-01,0.5182549193299302,0.03462849172430893,101.8931,101.668
2011-01-01,0.27812095075434584,-0.01970754602371727,101.5358,100.9666
2011-02-01,0.5088548883534827,0.06065006384270433,101.9185,101.2672
2011-03-01,0.999223894844814,0.629165749209637,102.5599,101.7394
2011-04-01,0.25853201261165637,-0.07496038930101534,102.6731,101.8823
2011-05-01,0.36832526037606783,0.03219552922217872,102.6798,101.8939
2011-06-01,0.5627347946489891,0.2630789213340812,102.4317,101.7382
2011-07-01,0.47093687665311634,0.21152370783976693,101.59,101.0411
2011-08-01,0.19210289338458253,0.04829200593432503,101.293,100.8692
2011-09-01,0.48460083761590056,0.20973517362943284,101.5662,101.0427
2011-10-01,-0.11254891969842973,-0.5304140469426954,101.4987,100.9734
2011-11-01,-0.5271239230016711,-0.9770202599772126,101.3215,100.7019
2011-12-01,-0.7172365744956721,-1.153596981434113,101.1649,100.5019
2012-01-01,-0.792608094681313,-1.045092856475538,100.7342,99.9169
2012-02-01,-0.8874755505987153,-1.1597876798767892,101.018,100.0995
2012-03-01,-0.9588539480476221,-1.2023110981006724,101.5812,100.5235
2012-04-01,-0.9944769528806852,-1.1629725530339918,101.6571,100.7043
2012-05-01,-1.0188088444693655,-1.2045495396440842,101.639,100.6739
2012-06-01,-1.0593668734477646,-1.2309798291041396,101.3523,100.4935
2012-07-01,-0.7167073150330161,-1.0373178900398905,100.8645,99.9984
2012-08-01,-0.45407151091563236,-1.0916999701163554,100.8341,99.774
2012-09-01,-0.41230458798722225,-1.000808038367218,101.1483,100.0365
2012-10-01,-0.22241749765283814,-0.7617073460971291,101.2732,100.2072
2012-11-01,-0.3760460511540664,-0.5723289789584918,100.9412,100.1272
2012-12-01,-0.43538564682474856,-0.5585614490200008,100.7254,99.9421
2013-01-01,-0.2700841168474355,-0.4168131110357187,100.4625,99.5013
2013-02-01,-0.2564214525124342,-0.39980113273880846,100.7593,99.7001
2013-03-01,-0.5953826692453035,-0.5559402157513382,100.9782,99.9662
2013-04-01,-0.6364083525426167,-0.5764100771346925,101.0122,100.1255
2013-05-01,-0.5086755397637255,-0.39252931914264266,101.1233,100.2795
2013-06-01,-0.1279526276012355,-0.23791009098594884,101.2227,100.2547
2013-07-01,-0.002776039998941826,-0.2375858085587268,100.8617,99.7611
2013-08-01,-0.04463772100349317,-0.03999837653907434,100.7891,99.7341
2013-09-01,-0.05537958395223086,-0.06869852568360812,101.0923,99.9678
2013-10-01,-0.2555764736385413,-0.07447347301736684,101.0147,100.1326
2013-11-01,0.0797176157235846,0.12795523911881546,101.0217,100.2554
2013-12-01,0.06709065031840211,-0.016310773301864145,100.793,99.9258
2014-01-01,0.054433359538919035,-0.10548137029866567,100.5172,99.3964
2014-02-01,-0.14122809190677543,-0.08157781776709783,100.6171,99.6188
2014-03-01,0.002772837286180163,0.07219834257430335,100.981,100.0384
2014-04-01,0.038007986093724355,0.04483366933829558,101.0506,100.1704
2014-05-01,0.22057608616057323,0.07844986663645415,101.3466,100.3582
2014-06-01,0.04958132525185732,-0.04020569807803298,101.2729,100.2144
2014-07-01,0.03191980819696738,0.07545185042134861,100.8939,99.8364
2014-08-01,0.07170823092241818,0.09801269537828006,100.8614,99.8319
2014-09-01,-0.08768110766785853,-0.0019006300588486624,101.0037,99.9659
2014-10-01,-0.012672225962706563,0.11198868907005277,101.0019,100.2448
2014-11-01,-0.05861844807188987,0.1328721049976167,100.9625,100.3887
2014-12-01,-0.3289362236455595,0.25516375349212694,100.462,100.1811
2015-01-01,-0.48647143556657113,0.37185646005752915,100.0294,99.7667
2015-02-01,-0.8431633658290139,0.025393588205258055,99.7723,99.6441
2015-03-01,-0.8784672275139016,-0.1784907206497266,100.0978,99.86
2015-04-01,-1.1289546816820817,-0.436408859321169,99.9162,99.7342
2015-05-01,-1.1889245208247523,-0.5646743254231978,100.1488,99.7931
2015-06-01,-1.042713669218287,-0.36197967515914087,100.2224,99.8523
2015-07-01,-1.2842046129783569,-0.6049125622189067,99.6065,99.2343
2015-08-01,-1.4124469369917847,-0.6894260284991738,99.4468,99.146
2015-09-01,-1.4541319195251923,-0.6613065813612096,99.5456,99.307
2015-10-01,-1.36920640375493,-0.7572129780924364,99.6284,99.4886
2015-11-01,-1.4022834113305294,-0.9613875482682666,99.5566,99.4282
2015-12-01,-1.316989762101528,-0.8846061718801757,99.1476,99.2988
2016-01-01,-1.2747177260280296,-0.8913308118217778,98.7624,98.8814
2016-02-01,-0.8319374868382745,-0.4777355470935163,98.9457,99.1692
2016-03-01,-0.8644840978884183,-0.48354251021551775,99.2362,99.3783
2016-04-01,-0.3526159316805,-0.0345979297843968,99.5645,99.6997
2016-05-01,-0.44091596871469463,-0.078091993123941,99.7082,99.7152
2016-06-01,-0.37476945687062724,-0.2309070414847625,99.8475,99.622
2016-07-01,-0.20310452289233893,-0.034167411576468965,99.4044,99.2004
2016-08-01,-0.14319405640614846,-0.003530209770552517,99.3045,99.1425
2016-09-01,-0.18168980492170306,-0.13714375387063882,99.3649,99.1709
2016-10-01,-0.21301745151340867,-0.2647019222216329,99.4164,99.2256
2016-11-01,-0.3387727644032168,-0.30964673266078435,99.2199,99.1208
2016-12-01,-0.006757830133885534,-0.3244976139693989,99.1409,98.9771
2017-01-01,0.3483109044570831,-0.21939191603355113,99.107,98.6647
2017-02-01,0.643933185816703,-0.09341938818829831,99.5849,99.0766
2017-03-01,0.5662310222083633,0.11826573150965913,99.7997,99.4959
2017-04-01,0.436851062708854,0.12399568355645485,100.0004,99.8234
2017-05-01,0.47825342890339684,0.23639441578735543,100.1862,99.9512
2017-06-01,0.19700654572130105,0.21197729332911308,100.0444,99.8334
2017-07-01,0.3287202016363011,0.34114991439322395,99.7317,99.5394
2017-08-01,0.4616509554026038,0.3939075833012673,99.764,99.5338
2017-09-01,0.6499245207629123,0.5106385514639378,100.0128,99.6786
2017-10-01,0.6587826015050702,0.5208852935738584,100.0735,99.7438
2017-11-01,0.7839586945014965,0.5982825822619553,100.0008,99.7156
2017-12-01,0.8352077270444624,0.7058486844918832,99.9724,99.6782
2018-01-01,0.737483965559349,0.48289588142944595,99.8406,99.1423
2018-02-01,0.6261429008439734,0.5275904350424909,100.2104,99.6007
2018-03-01,0.7922465951253344,0.5770491780988429,100.5935,100.0717
2018-04-01,0.7999883305150668,0.508604894016873,100.8036,100.3324
2018-05-01,0.9942800292209064,0.44851204475708784,101.1873,100.4005
2018-06-01,1.1400673781712278,0.4772563274701547,101.1915,100.311
2018-07-01,1.2227942030554217,0.52264543290228,100.9587,100.061
2018-08-01,1.1741669666975874,0.5386646238818571,100.9423,100.0714
2018-09-01,0.9846101138386132,0.36920641621618344,101.0024,100.0473
2018-10-01,1.1005087854901063,0.4029215472739267,101.1809,100.1465
2018-11-01,0.9177682180202318,0.23849446345387548,100.9228,99.9537
2018-12-01,0.6891110180748505,0.30961808317213624,100.6637,99.9873
2019-01-01,0.5585301005328169,0.4635088793381037,100.3998,99.6029
