"CubeId";"snbmonagg"
"PublishingDate";"2025-08-21 09:00"

"Date";"D0";"D1";"Value"
"1996-05";"VV";"GM2";"13.46020883"
"1996-05";"VV";"GM3";"6.78777252"
"1996-06";"VV";"GM1";"11.03723219"
"1996-06";"VV";"GM2";"12.23857303"
"1996-06";"VV";"GM3";"7.21975735"
"1996-07";"VV";"GM1";"11.61156207"
"1996-07";"VV";"GM2";"11.17236824"
"1996-07";"VV";"GM3";"7.38384983"
"1996-08";"VV";"GM1";"9.69562757"
"1996-08";"VV";"GM2";"9.88478018"
"1996-08";"VV";"GM3";"6.88438159"
"1996-09";"VV";"GM1";"11.70614156"
"1996-09";"VV";"GM2";"11.06808598"
"1996-09";"VV";"GM3";"7.33740834"
"1996-10";"VV";"GM1";"10.06271647"
"1996-10";"VV";"GM2";"9.69726601"
"1996-10";"VV";"GM3";"7.0954102"
"1996-11";"VV";"GM1";"9.51155166"
"1996-11";"VV";"GM2";"8.31149051"
"1996-11";"VV";"GM3";"7.73800532"
"1996-12";"VV";"GM1";"9.49972944"
"1996-12";"VV";"GM2";"7.51319938"
"1996-12";"VV";"GM3";"6.70769692"
"1997-01";"VV";"GM1";"10.91301103"
"1997-01";"VV";"GM2";"7.20970163"
"1997-01";"VV";"GM3";"7.15263164"
"1997-02";"VV";"GM1";"10.83165428"
"1997-02";"VV";"GM2";"6.78257203"
"1997-02";"VV";"GM3";"7.76760984"
"1997-03";"VV";"GM1";"6.79965254"
"1997-03";"VV";"GM2";"4.54570829"
"1997-03";"VV";"GM3";"5.62666377"
"1997-04";"VV";"GM1";"8.17339264"
"1997-04";"VV";"GM2";"5.03694629"
"1997-04";"VV";"GM3";"5.76340326"
"1997-05";"VV";"GM1";"12.07929139"
"1997-05";"VV";"GM2";"7.85658923"
"1997-05";"VV";"GM3";"6.29979543"
"1997-06";"VV";"GM1";"11.39698959"
"1997-06";"VV";"GM2";"7.73835431"
"1997-06";"VV";"GM3";"5.30421568"
"1997-07";"VV";"GM1";"12.93633196"
"1997-07";"VV";"GM2";"8.0753805"
"1997-07";"VV";"GM3";"5.0218626"
"1997-08";"VV";"GM1";"13.15578312"
"1997-08";"VV";"GM2";"8.4255723"
"1997-08";"VV";"GM3";"4.59729876"
"1997-09";"VV";"GM1";"9.81126958"
"1997-09";"VV";"GM2";"6.43178063"
"1997-09";"VV";"GM3";"3.81994655"
"1997-10";"VV";"GM1";"9.24476952"
"1997-10";"VV";"GM2";"5.56152279"
"1997-10";"VV";"GM3";"3.88488729"
"1997-11";"VV";"GM1";"7.06751178"
"1997-11";"VV";"GM2";"4.88851099"
"1997-11";"VV";"GM3";"2.74649322"
"1997-12";"VV";"GM1";"8.69381056"
"1997-12";"VV";"GM2";"6.06851195"
"1997-12";"VV";"GM3";"3.35985989"
"1998-01";"VV";"GM1";"8.4992092"
"1998-01";"VV";"GM2";"4.91013899"
"1998-01";"VV";"GM3";"1.62071667"
"1998-02";"VV";"GM1";"11.54486186"
"1998-02";"VV";"GM2";"6.2572556"
"1998-02";"VV";"GM3";"1.08707187"
"1998-03";"VV";"GM1";"12.52258481"
"1998-03";"VV";"GM2";"6.53410153"
"1998-03";"VV";"GM3";"2.30500816"
"1998-04";"VV";"GM1";"9.90911017"
"1998-04";"VV";"GM2";"4.63919022"
"1998-04";"VV";"GM3";"1.54808275"
"1998-05";"VV";"GM1";"6.25564804"
"1998-05";"VV";"GM2";"2.31492451"
"1998-05";"VV";"GM3";"0.27325864"
"1998-06";"VV";"GM1";"5.80094776"
"1998-06";"VV";"GM2";"1.61095692"
"1998-06";"VV";"GM3";"0.8145638"
"1998-07";"VV";"GM1";"5.13771246"
"1998-07";"VV";"GM2";"1.84149942"
"1998-07";"VV";"GM3";"1.18550694"
"1998-08";"VV";"GM1";"6.3044506"
"1998-08";"VV";"GM2";"2.21440059"
"1998-08";"VV";"GM3";"1.5907496"
"1998-09";"VV";"GM1";"6.57386619"
"1998-09";"VV";"GM2";"1.87768269"
"1998-09";"VV";"GM3";"0.62979868"
"1998-10";"VV";"GM1";"9.15253295"
"1998-10";"VV";"GM2";"3.61007233"
"1998-10";"VV";"GM3";"0.66317851"
"1998-11";"VV";"GM1";"9.03669399"
"1998-11";"VV";"GM2";"3.50161089"
"1998-11";"VV";"GM3";"1.99420055"
"1998-12";"VV";"GM1";"5.28953621"
"1998-12";"VV";"GM2";"0.69947091"
"1998-12";"VV";"GM3";"0.42275981"
"1999-01";"VV";"GM1";"6.69695155"
